Experiment,participant,age,gender,first_language
Exp1,0d828a45ab54823a65f9fca4,12,F,Spanish
Exp2,006042a13b2f4dc37e136cca,41,F,Spanish
Exp2,027e5bd187cbb5f28c6dc142,39,M,Spanish
Exp2,08076d2062b559cf2b02eb96,23,M,Spanish
Exp2,0b0c89bbac3ea98f40d0686d,29,F,Spanish
Exp2,0f0bb48723165795a6fb290e,21,F,Spanish/Other
Exp2,100c5bc0ecf5834de53c12f9,29,M,Spanish
Exp2,11da4510db0f66747558f181,23,M,Spanish
Exp2,11f597c2fe45ebf7c1bedcfb,26,F,Spanish
Exp2,15208858821bdc1d0d8abafd,34,F,Spanish
Exp2,197f2c803f6f57a4e354560b,28,F,Spanish
Exp2,1c04b39120ed2e8b455682ef,32,M,Spanish
Exp2,1c3697f4e028344798b903fa,27,M,Spanish/Other
Exp2,1eb7df7e7374436b99d137bf,30,NB,Spanish
Exp2,22d30d4ee38c1c191a23e1a8,30,M,Spanish
Exp2,2e893011a74cfa26afa4490e,24,F,Spanish
Exp2,44f5fb5d2859f81992ff9e03,31,M,Spanish
Exp2,4cbc852452798a68ba6062d6,22,F,Spanish
Exp2,4e68d55b419d4017746221fb,22,M,Spanish
Exp2,50e3c0b94bb9740e91ba7550,25,M,Spanish
Exp2,5a60350ba8862dd7360569e1,26,M,Spanish
Exp2,5b6272b4fd67fb0acf8cff13,22,F,Spanish
Exp2,6425fb9a88f0fcfbede64da7,40,M,Spanish
Exp2,66c9eec8b1bf86218906c51d,18,M,Spanish
Exp2,6a746dc18780ad57f8916d3a,23,M,Spanish
Exp2,6f21e6466d128dac1b0e4103,36,M,Spanish
Exp2,72207261e88f9124ee23b4d4,29,F,Spanish
Exp2,72b3f421bd4e9ca48b81e0ad,21,M,Spanish
Exp2,7a822790f2da82b35b9db33c,27,F,Spanish
Exp2,7f7b7d00c06bd73f580601a5,26,F,Spanish
Exp2,82c280115ee27297a198d06b,34,M,Spanish
Exp2,82ffa3f5471e4ca2584174cc,25,M,Spanish
Exp2,8be407300d3cc204281ae773,32,M,Spanish/English
Exp2,9157f556c142abc4e17bc03e,22,M,Spanish
Exp2,a02cea162865d6ca9e2dddcf,22,F,Spanish
Exp2,a3ad2c580c58411ede1500b5,27,F,Spanish
Exp2,a469e7528a0989420c03d0ea,29,F,Spanish
Exp2,a5424da24b7eb7d5925f77d5,19,M,Spanish
Exp2,a6ce057610d2f36fa2396266,39,M,Spanish
Exp2,ab7868cceab3dd5ce4eb5eb0,27,F,Spanish
Exp2,aea953895e504f5e0cef2681,23,M,Spanish
Exp2,b68864354b1500a48547997b,18,F,Spanish/English
Exp2,b7a6bab0e5e273d91e645a7b,31,F,Spanish
Exp2,b7ddaa213126458f4e022bab,23,M,Spanish
Exp2,ba84a4a647b4e542161ff239,28,M,Spanish
Exp2,bcb0df7309a79a6a52d47163,33,M,English/Spanish
Exp2,bce6c0df78c3b46862183ae0,31,M,Spanish/Other
Exp2,beaeaf5be4bdd46bd5d55228,23,M,Spanish
Exp2,c1a3e8c05fb660ff0cd31ce3,31,F,Spanish
Exp2,c1a84e7272b31d9458df4868,40,F,Spanish
Exp2,c8ffd1aca492421b46bf6622,35,F,Spanish
Exp2,d9e5d163815a28ff556a6577,27,F,Spanish
Exp2,debc77fa59a4f4d6ec6eade8,23,M,Spanish
Exp2,df49f70832e48c2185e8d17d,21,M,Spanish
Exp2,e5d1793391071e08c5905bf9,27,M,Spanish
Exp2,e648057de6c7c58ed67e9b94,18,M,Spanish
Exp2,ef9c4a5502c7ebd7d2f66f65,24,M,Spanish
Exp2,f36b0457ab62fe307fac7b96,28,M,Spanish
Exp2,f388b2bec3cd8478190f0c62,25,M,Spanish
Exp2,f47bbe3231676e2ff441829c,32,M,Spanish
Exp3,0c5494debd1f00d7d2ec47b3,18,F,Spanish/English
Exp3,0d28738f2015b0e6a00937a5,25,F,Spanish
Exp3,0f14372b9e0e5063b8dc6471,22,M,Spanish
Exp3,10349bdb2fc860db09299887,30,F,Spanish
Exp3,129e45bb15e4433c7051d20f,28,M,Spanish
Exp3,155a0e37512564361d6cd25b,32,M,Spanish
Exp3,1586ad868bc456c488a71b07,29,M,Spanish
