counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,0,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",32,M,"[""none""]","[""spanish""]",155a0e37512564361d6cd25b,67d30250bc6dd184d4aaad81,67d8a0c5827522d4c2b3a7c4,2025-03-17_15h23.51.617,Tarea de clasificación semántica,2024.2.5,Win32,185.1851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,155a0e37512564361d6cd25b,67d30250bc6dd184d4aaad81,67d8a0c5827522d4c2b3a7c4,2025-03-17_15h23.51.617,Tarea de clasificación semántica,2024.2.5,Win32,185.1851852,85.6167,85.6167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,155a0e37512564361d6cd25b,67d30250bc6dd184d4aaad81,67d8a0c5827522d4c2b3a7c4,2025-03-17_15h23.51.617,Tarea de clasificación semántica,2024.2.5,Win32,185.1851852,,,85.6272,110.2587,space,24.6045,,-0.615451368,-0.034722265,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,155a0e37512564361d6cd25b,67d30250bc6dd184d4aaad81,67d8a0c5827522d4c2b3a7c4,2025-03-17_15h23.51.617,Tarea de clasificación semántica,2024.2.5,Win32,185.1851852,,,110.26,126.7476,space,16.4572,,-0.615451368,-0.034722265,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,155a0e37512564361d6cd25b,67d30250bc6dd184d4aaad81,67d8a0c5827522d4c2b3a7c4,2025-03-17_15h23.51.617,Tarea de clasificación semántica,2024.2.5,Win32,185.1851852,,,126.7491,137.7551,space,10.9965,,-0.615451368,-0.034722265,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,155a0e37512564361d6cd25b,67d30250bc6dd184d4aaad81,67d8a0c5827522d4c2b3a7c4,2025-03-17_15h23.51.617,Tarea de clasificación semántica,2024.2.5,Win32,185.1851852,,,170.5346,180.4011,space,9.8579,,-0.615451368,-0.034722265,0,0,0,,,,,,,,,,,180.4246,181.563,l,1,0.4809,,0.4809,1,181.5631,182.0634,182.0635,182.0657,-0.615451368,-0.034722265,0,0,0,,0,0,0,170,1,171,FEM,AGR,150,0,teoría,la,6,,,,
,,,,,,,155a0e37512564361d6cd25b,67d30250bc6dd184d4aaad81,67d8a0c5827522d4c2b3a7c4,2025-03-17_15h23.51.617,Tarea de clasificación semántica,2024.2.5,Win32,185.1851852,,,,,,,,,,,,,,,,,,,,,,,182.066,183.0807,s,1,0.3566,,0.3566,1,183.0807,183.5811,183.5812,183.5812,-0.615451368,-0.034722265,0,0,0,,0,1,1,540,1,541,MAS,AGR,150,1,pulpo,el,5,,,,
,,,,,,,155a0e37512564361d6cd25b,67d30250bc6dd184d4aaad81,67d8a0c5827522d4c2b3a7c4,2025-03-17_15h23.51.617,Tarea de clasificación semántica,2024.2.5,Win32,185.1851852,,,,,,,,,,,,,,,,,,,,,,,183.5817,184.643,l,1,0.4096,,0.4096,1,184.6432,185.1432,185.1439,185.1442,-0.615451368,-0.034722265,0,0,0,,0,2,2,126,1,127,FEM,AGR,150,0,viuda,la,5,,,,
,,,,,,,155a0e37512564361d6cd25b,67d30250bc6dd184d4aaad81,67d8a0c5827522d4c2b3a7c4,2025-03-17_15h23.51.617,Tarea de clasificación semántica,2024.2.5,Win32,185.1851852,,,,,,,,,,,,,,,,,,,,,,,185.1447,186.0828,s,1,0.278,,0.278,1,186.0828,186.5832,186.5832,186.5832,-0.615451368,-0.034722265,0,0,0,,0,3,3,447,1,448,FEM,DIS,150,1,piraña,el,6,,,,
,,,,,,,155a0e37512564361d6cd25b,67d30250bc6dd184d4aaad81,67d8a0c5827522d4c2b3a7c4,2025-03-17_15h23.51.617,Tarea de clasificación semántica,2024.2.5,Win32,185.1851852,,,,,,,,,,,,,,,,,,,,,,,186.5839,187.7673,l,1,0.5294,,0.5294,1,187.7674,188.2676,188.2676,188.2677,-0.615451368,-0.034722265,0,0,0,,0,4,4,125,1,126,FEM,DIS,150,0,barba,el,5,,,,
