counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
1,3,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",29,M,"[""none""]","[""spanish""]",1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,26.9061,26.9064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,26.9429,33.2882,,-0.027777778,-0.425463019,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,33.293,37.3042,space,-0.027777778,-0.425463019,0,0,0,,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""L"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""S"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").

Pulse la tecla ESPACIO para continuar.",1,keyboardresponseNA.png,3.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,37.3117,38.6937,space,-0.027777778,-0.425463019,0,0,0,,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseNA.png,1.3588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,85.2549,89.5826,space,0.521759288,0.1625,0,0,0,,,,,,,,,,,,4.3077,,89.7116,90.8745,s,1,0.4859,,0.4859,1,90.8747,91.3744,91.375,91.3829,0.521759288,0.1625,0,0,0,,0,0,0,200,1,201,FEM,DIS,150,0,huella,el,6,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,91.3861,92.449,s,1,0.3991,,0.3991,1,92.4492,92.9406,92.9407,92.941,0.521759288,0.1625,0,0,0,,0,1,1,346,1,347,MAS,DIS,150,0,dinero,la,6,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,92.9429,93.9572,s,1,0.3326,,0.3326,1,93.9573,94.4568,94.4595,94.4613,0.521759288,0.1625,0,0,0,,0,2,2,8,1,9,FEM,DIS,150,0,cama,el,4,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,94.4633,95.4404,s,1,0.3045,,0.3045,1,95.4406,95.9401,95.9402,95.9405,0.521759288,0.1625,0,0,0,,0,3,3,281,1,282,MAS,AGR,150,0,juego,el,5,,,,,
,,,,,,,1586ad868bc456c488a71b07,67d30250bc6dd184d4aaad81,67d894f4b75d8f67fa629cee,2025-03-17_22h35.14.236,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,95.9425,97.0399,s,1,0.4201,,0.4201,1,97.0401,97.5398,97.5402,97.5408,0.521759288,0.1625,0,0,0,,0,4,4,394,1,395,MAS,DIS,150,0,ladrón,la,6,,,,,
