counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
1,3,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",34,F,"[""none""]","[""spanish""]",2b06e30a661b043b22603edc,67d30250bc6dd184d4aaad81,67dadd58177351b009c2ec1d,2025-03-19_09h09.40.519,Tarea de clasificación semántica,2024.2.5,Win32,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2b06e30a661b043b22603edc,67d30250bc6dd184d4aaad81,67dadd58177351b009c2ec1d,2025-03-19_09h09.40.519,Tarea de clasificación semántica,2024.2.5,Win32,116.2790698,47.8773,47.8775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2b06e30a661b043b22603edc,67d30250bc6dd184d4aaad81,67dadd58177351b009c2ec1d,2025-03-19_09h09.40.519,Tarea de clasificación semántica,2024.2.5,Win32,116.2790698,,,47.8945,63.8121,space,15.878,,-0.062962921,-0.407407407,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2b06e30a661b043b22603edc,67d30250bc6dd184d4aaad81,67dadd58177351b009c2ec1d,2025-03-19_09h09.40.519,Tarea de clasificación semántica,2024.2.5,Win32,116.2790698,,,63.8149,80.3024,space,16.4395,,0.815740797,-0.477777764,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""L"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""S"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").

Pulse la tecla ESPACIO para continuar.",1,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2b06e30a661b043b22603edc,67d30250bc6dd184d4aaad81,67dadd58177351b009c2ec1d,2025-03-19_09h09.40.519,Tarea de clasificación semántica,2024.2.5,Win32,116.2790698,,,80.3047,86.138,space,5.8207,,0.815740797,-0.477777764,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2b06e30a661b043b22603edc,67d30250bc6dd184d4aaad81,67dadd58177351b009c2ec1d,2025-03-19_09h09.40.519,Tarea de clasificación semántica,2024.2.5,Win32,116.2790698,,,130.2398,139.1947,space,8.948,,0.82222225,-0.468518504,0,0,0,,,,,,,,,,,139.237,140.828,s,1,0.9374,1,140.8281,141.3282,0.9374,,141.3285,141.3318,0.82222225,-0.468518504,0,0,0,,0,0,0,26,1,27,FEM,DIS,150,0,bala,el,4,,,,
,,,,,,,2b06e30a661b043b22603edc,67d30250bc6dd184d4aaad81,67dadd58177351b009c2ec1d,2025-03-19_09h09.40.519,Tarea de clasificación semántica,2024.2.5,Win32,116.2790698,,,,,,,,,,,,,,,,,,,,,,,141.3328,142.4369,l,1,0.4466,1,142.4369,142.9364,0.4466,,142.9366,142.9366,0.82222225,-0.468518504,0,0,0,,0,1,1,517,1,518,MAS,AGR,150,1,koala,el,5,,,,
,,,,,,,2b06e30a661b043b22603edc,67d30250bc6dd184d4aaad81,67dadd58177351b009c2ec1d,2025-03-19_09h09.40.519,Tarea de clasificación semántica,2024.2.5,Win32,116.2790698,,,,,,,,,,,,,,,,,,,,,,,142.9377,144.0198,l,1,0.4179,1,144.0199,144.5201,0.4179,,144.5218,144.5225,0.82222225,-0.468518504,0,0,0,,0,2,2,463,1,464,FEM,AGR,150,1,cobra,la,5,,,,
,,,,,,,2b06e30a661b043b22603edc,67d30250bc6dd184d4aaad81,67dadd58177351b009c2ec1d,2025-03-19_09h09.40.519,Tarea de clasificación semántica,2024.2.5,Win32,116.2790698,,,,,,,,,,,,,,,,,,,,,,,144.5236,145.6698,s,1,0.4868,1,145.67,146.1699,0.4868,,146.1699,146.1701,0.82222225,-0.468518504,0,0,0,,0,3,3,283,1,284,MAS,AGR,150,0,poder,el,5,,,,
,,,,,,,2b06e30a661b043b22603edc,67d30250bc6dd184d4aaad81,67dadd58177351b009c2ec1d,2025-03-19_09h09.40.519,Tarea de clasificación semántica,2024.2.5,Win32,116.2790698,,,,,,,,,,,,,,,,,,,,,,,146.1711,147.3034,s,1,0.4667,1,147.3035,147.8034,0.4667,,147.8035,147.8036,0.82222225,-0.468518504,0,0,0,,0,4,4,309,1,310,MAS,AGR,150,0,color,el,5,,,,
