counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
1,1,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",27,M,"[""none""]","[""spanish""]",2c329eecb0475cfbbcd6fb8f,67d30250bc6dd184d4aaad81,67d9b2dd5e8808217bf148a1,2025-03-18_11h54.40.137,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2c329eecb0475cfbbcd6fb8f,67d30250bc6dd184d4aaad81,67d9b2dd5e8808217bf148a1,2025-03-18_11h54.40.137,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,19.4438,19.4439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2c329eecb0475cfbbcd6fb8f,67d30250bc6dd184d4aaad81,67d9b2dd5e8808217bf148a1,2025-03-18_11h54.40.137,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,19.4573,50.3825,space,30.895,,-0.157407407,-0.12962963,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2c329eecb0475cfbbcd6fb8f,67d30250bc6dd184d4aaad81,67d9b2dd5e8808217bf148a1,2025-03-18_11h54.40.137,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,50.3867,137.1375,space,86.6991,,-0.157407407,-0.12962963,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2c329eecb0475cfbbcd6fb8f,67d30250bc6dd184d4aaad81,67d9b2dd5e8808217bf148a1,2025-03-18_11h54.40.137,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,137.1399,164.3424,space,27.1818,,-0.157407407,-0.12962963,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2c329eecb0475cfbbcd6fb8f,67d30250bc6dd184d4aaad81,67d9b2dd5e8808217bf148a1,2025-03-18_11h54.40.137,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,203.9336,227.0848,space,23.1318,,-0.157407407,-0.12962963,0,0,0,,,,,,,,,,,227.1249,228.3583,l,1,0.5701,,0.5701,1,228.3585,228.8584,228.8594,228.8667,-0.157407407,-0.12962963,0,0,0,,0,0,0,410,1,411,MAS,DIS,150,0,hombro,la,6,,,,
,,,,,,,2c329eecb0475cfbbcd6fb8f,67d30250bc6dd184d4aaad81,67d9b2dd5e8808217bf148a1,2025-03-18_11h54.40.137,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,228.8678,229.9902,l,1,0.4577,,0.4577,1,229.9904,230.4908,230.491,230.4913,-0.157407407,-0.12962963,0,0,0,,0,1,1,160,1,161,FEM,DIS,150,0,pareja,el,6,,,,
,,,,,,,2c329eecb0475cfbbcd6fb8f,67d30250bc6dd184d4aaad81,67d9b2dd5e8808217bf148a1,2025-03-18_11h54.40.137,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,230.4943,231.6413,l,1,0.4673,,0.4673,1,231.6415,232.1414,232.1445,232.1465,-0.157407407,-0.12962963,0,0,0,,0,2,2,302,1,303,MAS,DIS,150,0,baile,la,5,,,,
,,,,,,,2c329eecb0475cfbbcd6fb8f,67d30250bc6dd184d4aaad81,67d9b2dd5e8808217bf148a1,2025-03-18_11h54.40.137,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,232.1479,233.3577,l,1,0.5381,,0.5381,1,233.3579,233.8573,233.8577,233.8582,-0.157407407,-0.12962963,0,0,0,,0,3,3,260,1,261,MAS,DIS,150,0,clan,la,4,,,,
,,,,,,,2c329eecb0475cfbbcd6fb8f,67d30250bc6dd184d4aaad81,67d9b2dd5e8808217bf148a1,2025-03-18_11h54.40.137,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,233.8615,234.924,l,1,0.3875,,0.3875,1,234.9242,235.4244,235.4245,235.4247,-0.157407407,-0.12962963,0,0,0,,0,4,4,18,1,19,FEM,DIS,150,0,sala,el,4,,,,
