counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,consent_prescreening.block_1/declare_consent,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
1,1,30,F,"[""none""]","[""spanish""]","[""over_18"",""comfortable"",""consent_given"",""read_info""]",4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,30.6762,30.6763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,30.6906,40.3531,space,9.6407,,0.77962963,-0.110185185,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,40.3612,71.3318,space,30.9308,,0.819444444,-0.050925926,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,71.3333,73.3664,space,2.0221,,0.819444444,-0.050925926,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,104.7703,109.6161,space,4.8361,,0.819444444,-0.051851852,0,0,0,,,,,,,,,,,109.653,111.0327,s,1,0.7235,,0.7235,1,111.0327,111.5327,111.5329,111.5353,0.819444444,-0.051851852,0,0,0,,0,0,0,530,1,531,MAS,DIS,150,1,loro,la,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,111.5358,112.6507,s,1,0.4516,,0.4516,1,112.6508,113.1507,113.1508,113.1509,0.819444444,-0.051851852,0,0,0,,0,1,1,466,1,467,FEM,DIS,150,1,morsa,el,5,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,113.1514,114.3173,l,1,0.5071,,0.5071,1,114.3174,114.8173,114.8181,114.8184,0.819444444,-0.051851852,0,0,0,,0,2,2,38,1,39,FEM,DIS,150,0,cima,el,4,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,114.8189,115.9632,l,1,0.4896,,0.4896,1,115.9632,116.4632,116.4632,116.4633,0.819444444,-0.051851852,0,0,0,,0,3,3,406,1,407,MAS,DIS,150,0,título,la,6,,,,
,,,,,,,4df4a27b2cca653f608f6286,67d30250bc6dd184d4aaad81,67d8022f065f0f413c5896b6,2025-03-17_06h07.12.194,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,116.4641,117.5812,l,1,0.4608,,0.4608,1,117.5813,118.0812,118.0813,118.0813,0.819444444,-0.051851852,0,0,0,,0,4,4,206,1,207,FEM,DIS,150,0,lógica,el,6,,,,
