counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,2,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",29,M,"[""none""]","[""spanish""]",4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,26.7723,26.7724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,26.7829,46.1663,,0.054166688,-0.40138891,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,46.1676,81.8158,space,0.054861175,-0.400000042,0,0,0,,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""L"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""S"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").

Pulse la tecla ESPACIO para continuar.",1,keyboardresponseNA.png,35.6162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,81.8172,97.3211,space,0.054861175,-0.400000042,0,0,0,,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseNA.png,15.4973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,126.9998,128.7096,space,0.054861175,-0.400000042,0,0,0,,,,,,,,,,,,1.703,,128.7441,129.7596,s,1,0.3564,,0.3564,1,129.7596,130.2596,130.2598,130.262,0.054861175,-0.400000042,0,0,0,,0,0,0,186,1,187,FEM,AGR,150,0,charla,la,6,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,130.2624,131.2596,s,1,0.3396,,0.3396,1,131.2596,131.7595,131.7596,131.7596,0.054861175,-0.400000042,0,0,0,,0,1,1,200,1,201,FEM,AGR,150,0,huella,la,6,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,131.7603,132.7152,s,1,0.2993,,0.2993,1,132.7152,133.2151,133.2157,133.2161,0.054861175,-0.400000042,0,0,0,,0,2,2,82,1,83,FEM,AGR,150,0,línea,la,5,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,133.2167,134.1707,s,1,0.2986,,0.2986,1,134.1707,134.6708,134.6708,134.6709,0.054861175,-0.400000042,0,0,0,,0,3,3,139,1,140,FEM,DIS,150,0,cabeza,el,6,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,134.6715,135.6429,s,1,0.3133,,0.3133,1,135.6429,136.1428,136.1429,136.143,0.054861175,-0.400000042,0,0,0,,0,4,4,111,1,112,FEM,DIS,150,0,deuda,el,5,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,136.1434,137.1095,s,1,0.3079,,0.3079,1,137.1096,137.6094,137.6095,137.6097,0.054861175,-0.400000042,0,0,0,,0,5,5,40,1,41,FEM,AGR,150,0,cruz,la,4,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,137.6101,138.5817,s,1,0.3114,,0.3114,1,138.5818,139.0818,139.0818,139.0819,0.054861175,-0.400000042,0,0,0,,0,6,6,58,1,59,FEM,AGR,150,0,tela,la,4,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,139.0824,140.0539,s,1,0.3121,,0.3121,1,140.054,140.554,140.554,140.5541,0.054861175,-0.400000042,0,0,0,,0,7,7,156,1,157,FEM,AGR,150,0,escena,la,6,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,140.5546,141.6539,l,1,0.4399,,0.4399,1,141.6539,142.1539,142.1544,142.1548,0.054861175,-0.400000042,0,0,0,,0,8,8,469,1,470,FEM,DIS,150,1,araña,el,5,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,142.1552,143.0705,l,1,0.2566,,0.2566,1,143.0707,143.5706,143.5707,143.5708,0.054861175,-0.400000042,0,0,0,,0,9,9,454,1,455,FEM,AGR,150,1,gata,la,4,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,143.5715,144.5816,s,1,0.3513,,0.3513,1,144.5816,145.0817,145.0817,145.0818,0.054861175,-0.400000042,0,0,0,,0,10,10,256,1,257,MAS,AGR,150,0,menú,el,4,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,145.0823,146.1151,s,1,0.3756,,0.3756,1,146.1151,146.615,146.615,146.6151,0.054861175,-0.400000042,0,0,0,,0,11,11,203,1,204,FEM,DIS,150,0,toalla,el,6,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,146.6156,147.5649,s,1,0.2913,,0.2913,1,147.565,148.065,148.065,148.065,0.054861175,-0.400000042,0,0,0,,0,12,12,243,1,244,MAS,DIS,150,0,tubo,la,4,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,148.0654,148.9816,s,1,0.2566,,0.2566,1,148.9817,149.4815,149.4823,149.4828,0.054861175,-0.400000042,0,0,0,,0,13,13,64,1,65,FEM,AGR,150,0,pipa,la,4,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,149.4832,150.4705,l,1,0.3269,,0.3269,1,150.4705,150.9704,150.9705,150.9705,0.054861175,-0.400000042,0,0,0,,0,14,14,552,1,553,MAS,AGR,150,1,koala,el,5,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,150.9711,151.9984,s,1,0.3704,,0.3704,1,151.9984,152.4982,152.4982,152.4983,0.054861175,-0.400000042,0,0,0,,0,15,15,277,1,278,MAS,DIS,150,0,señor,la,5,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,152.499,153.5093,l,1,0.3528,,0.3528,1,153.5093,154.0093,154.0094,154.0095,0.054861175,-0.400000042,0,0,0,,0,16,16,532,1,533,MAS,AGR,150,1,perro,el,5,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,154.0099,154.9816,s,1,0.3105,,0.3105,1,154.9816,155.4816,155.4816,155.4817,0.054861175,-0.400000042,0,0,0,,0,17,17,312,1,313,MAS,AGR,150,0,calor,el,5,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,155.4821,156.3538,s,1,0.216,,0.216,1,156.3538,156.8538,156.8538,156.8538,0.054861175,-0.400000042,0,0,0,,0,18,18,309,1,310,MAS,DIS,150,0,color,la,5,,,,
,,,,,,,4f672a672df3d2e3492f13d7,67d30250bc6dd184d4aaad81,67d818dccd67fa8c31c393ab,2025-03-17_13h45.29.008,Tarea de clasificación semántica,2024.2.5,Win32,178.5714286,,,,,,,,,,,,,,,,,,,,,,,,156.8543,157.8815,l,0,0.3671,,0.3671,0,157.8819,158.3815,158.3822,158.3825,0.054861175,-0.400000042,0,0,0,,0,19,19,269,1,270,MAS,DIS,150,0,lodo,la,4,,,,
