counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,0,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",30,M,"[""none""]","[""spanish""]",543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,10.2792,10.2794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,10.2924,17.7679,,0.135185185,-0.374074074,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,17.7703,25.5801,space,0.564814815,-0.179166667,0,0,0,,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,7.7735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,25.583,29.5452,space,0.564814815,-0.179166667,0,0,0,,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,3.9497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,55.5742,57.0591,space,0.564814815,-0.179166667,0,0,0,,,,,,,,,,,,1.4721,,57.0785,58.1772,l,1,0.4347,,0.4347,1,58.1773,58.6772,58.6775,58.6798,0.564814815,-0.179166667,0,0,0,,0,0,0,294,1,295,MAS,AGR,150,0,barco,el,5,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,58.6805,59.6979,l,1,0.3563,,0.3563,1,59.698,60.1979,60.198,60.1981,0.564814815,-0.179166667,0,0,0,,0,1,1,148,1,149,FEM,AGR,150,0,fiesta,la,6,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,60.1986,61.2432,l,1,0.3884,,0.3884,1,61.2433,61.7423,61.7428,61.743,0.564814815,-0.179166667,0,0,0,,0,2,2,0,1,1,FEM,AGR,150,0,casa,la,4,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,61.7433,62.691,s,1,0.2867,,0.2867,1,62.6911,63.1913,63.1913,63.1913,0.564814815,-0.179166667,0,0,0,,0,3,3,457,1,458,FEM,DIS,150,1,mula,el,4,,,,
,,,,,,,543090105012267e3f675315,67d30250bc6dd184d4aaad81,67d85b181a52c2500c7a8ca2,2025-03-17_18h25.50.404,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,63.1917,64.1771,l,1,0.3195,,0.3195,1,64.1772,64.6772,64.6772,64.6774,0.564814815,-0.179166667,0,0,0,,0,4,4,103,1,104,FEM,DIS,150,0,costa,el,5,,,,
