counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,0,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",24,M,"[""none""]","[""spanish""]",55f71260e857fa4adfc06439,67d30250bc6dd184d4aaad81,67d89ae832e553a39420b8b7,2025-03-17_15h58.16.309,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,55f71260e857fa4adfc06439,67d30250bc6dd184d4aaad81,67d89ae832e553a39420b8b7,2025-03-17_15h58.16.309,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,19.0473,19.0474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,55f71260e857fa4adfc06439,67d30250bc6dd184d4aaad81,67d89ae832e553a39420b8b7,2025-03-17_15h58.16.309,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,19.0624,36.1083,space,17.0117,,0.101851852,-0.177777778,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,55f71260e857fa4adfc06439,67d30250bc6dd184d4aaad81,67d89ae832e553a39420b8b7,2025-03-17_15h58.16.309,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,36.1105,62.0285,space,25.8759,,0.101851852,-0.177777778,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,55f71260e857fa4adfc06439,67d30250bc6dd184d4aaad81,67d89ae832e553a39420b8b7,2025-03-17_15h58.16.309,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,62.0303,74.0964,space,12.0484,,0.101851852,-0.177777778,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,55f71260e857fa4adfc06439,67d30250bc6dd184d4aaad81,67d89ae832e553a39420b8b7,2025-03-17_15h58.16.309,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,99.7427,102.9406,space,3.178,,0.101851852,-0.177777778,0,0,0,,,,,,,,,,,102.9819,104.0405,s,1,0.3944,,0.3944,1,104.0406,104.5405,104.5407,104.5439,0.101851852,-0.177777778,0,0,0,,0,0,0,447,1,448,FEM,DIS,150,1,piraña,el,6,,,,
,,,,,,,55f71260e857fa4adfc06439,67d30250bc6dd184d4aaad81,67d89ae832e553a39420b8b7,2025-03-17_15h58.16.309,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,104.5444,105.5905,l,1,0.3672,,0.3672,1,105.5905,106.0906,106.0906,106.0907,0.101851852,-0.177777778,0,0,0,,0,1,1,236,1,237,MAS,AGR,150,0,muro,el,4,,,,
,,,,,,,55f71260e857fa4adfc06439,67d30250bc6dd184d4aaad81,67d89ae832e553a39420b8b7,2025-03-17_15h58.16.309,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,106.0916,107.0739,s,1,0.3004,,0.3004,1,107.074,107.5739,107.5748,107.5752,0.101851852,-0.177777778,0,0,0,,0,2,2,490,1,491,MAS,AGR,150,1,pavo,el,4,,,,
,,,,,,,55f71260e857fa4adfc06439,67d30250bc6dd184d4aaad81,67d89ae832e553a39420b8b7,2025-03-17_15h58.16.309,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,107.5759,108.5905,s,1,0.3354,,0.3354,1,108.5906,109.0906,109.0906,109.0907,0.101851852,-0.177777778,0,0,0,,0,3,3,511,1,512,MAS,DIS,150,1,gorila,la,6,,,,
,,,,,,,55f71260e857fa4adfc06439,67d30250bc6dd184d4aaad81,67d89ae832e553a39420b8b7,2025-03-17_15h58.16.309,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,109.0913,110.1407,l,1,0.3694,,0.3694,1,110.1408,110.6405,110.6405,110.6406,0.101851852,-0.177777778,0,0,0,,0,4,4,330,1,331,MAS,AGR,150,0,motor,el,5,,,,
