counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,0,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",28,M,"[""none""]","[""spanish""]",63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,18.9974,18.9975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,19.0122,34.0771,space,15.0356,,-0.036111111,-0.112037037,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,34.079,47.4727,space,13.3477,,-0.036111111,-0.112037037,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,47.4747,60.4684,space,12.9859,,-0.036111111,-0.112037037,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,201.8202,206.5051,space,4.6782,,-0.026851852,-0.059259259,0,0,0,,,,,,,,,,,206.5408,207.5513,l,1,0.3508,1,207.5513,208.0514,0.3508,,208.0516,208.0544,-0.026851852,-0.059259259,0,0,0,,0,0,0,218,1,219,MAS,AGR,150,0,voto,el,4,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,208.0548,209.2595,l,1,0.5436,1,209.2596,209.7597,0.5436,,209.7598,209.7599,-0.026851852,-0.059259259,0,0,0,,0,1,1,323,1,324,MAS,DIS,150,0,pecho,la,5,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,209.7608,210.7525,s,0,0.3332,0,210.7532,211.2529,0.3332,,211.2537,211.2541,-0.026851852,-0.059259259,0,0,0,,0,2,2,191,1,192,FEM,DIS,150,0,actriz,el,6,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,211.2547,212.1692,s,1,0.2567,1,212.1699,212.6692,0.2567,,212.6693,212.6693,-0.026851852,-0.059259259,0,0,0,,0,3,3,495,1,496,MAS,DIS,150,1,loro,la,4,,,,
,,,,,,,63236865b1c2f3b9a67adcb2,67d30250bc6dd184d4aaad81,67d8201f4627b311838c1f7c,2025-03-17_14h16.15.905,Tarea de clasificación semántica,2024.2.5,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,212.6703,213.6347,s,1,0.3075,1,213.6348,214.1349,0.3075,,214.1349,214.1349,-0.026851852,-0.059259259,0,0,0,,0,4,4,536,1,537,MAS,AGR,150,1,tigre,el,5,,,,
