counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
1,1,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",25,F,"[""none""]","[""spanish""]",6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,129.8344,129.8347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,129.8474,148.9443,space,19.066,,-0.156481496,-0.121296282,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,148.9481,164.6466,space,15.6542,,-0.156481496,-0.121296282,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,164.6499,178.3017,space,13.6398,,-0.156481496,-0.121296282,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,209.8231,252.7914,space,42.956,,-0.156481496,-0.121296282,0,0,0,,,,,,,,,,,252.8224,253.9074,l,1,0.4179,1,253.9078,254.4074,0.4179,,254.4085,254.4118,-0.156481496,-0.121296282,0,0,0,,0,0,0,12,1,13,FEM,DIS,150,0,nave,el,4,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,254.4123,255.4371,s,0,0.3621,0,255.439,255.9364,0.3621,,255.9364,255.9367,-0.156481496,-0.121296282,0,0,0,,0,1,1,228,1,229,MAS,DIS,150,0,olor,la,4,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,255.9395,256.9779,l,1,0.3757,1,256.9795,257.4767,0.3757,,257.4793,257.48,-0.156481496,-0.121296282,0,0,0,,0,2,2,153,1,154,FEM,AGR,150,0,cárcel,la,6,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,257.4805,258.5066,s,1,0.3628,1,258.5069,259.0055,0.3628,,259.0055,259.0056,-0.156481496,-0.121296282,0,0,0,,0,3,3,550,1,551,MAS,DIS,150,1,ratón,la,5,,,,
,,,,,,,6c118cd8dc0d6e4c3982d905,67d30250bc6dd184d4aaad81,67d484965b34b2142875e936,2025-03-14_13h33.56.929,Tarea de clasificación semántica,2024.2.5,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,259.0079,260.1057,l,1,0.4413,1,260.1057,260.6019,0.4413,,260.6022,260.6025,-0.156481496,-0.121296282,0,0,0,,0,4,4,61,1,62,FEM,AGR,150,0,joya,la,4,,,,
