counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,2,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",39,M,"[""none""]","[""spanish""]",74fa55a3ef3060b87a4cec20,67d30250bc6dd184d4aaad81,67da9a39cd7820dc0403c1af,2025-03-19_11h19.48.595,Tarea de clasificación semántica,2024.2.5,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74fa55a3ef3060b87a4cec20,67d30250bc6dd184d4aaad81,67da9a39cd7820dc0403c1af,2025-03-19_11h19.48.595,Tarea de clasificación semántica,2024.2.5,Win32,143.6781609,14.427,14.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74fa55a3ef3060b87a4cec20,67d30250bc6dd184d4aaad81,67da9a39cd7820dc0403c1af,2025-03-19_11h19.48.595,Tarea de clasificación semántica,2024.2.5,Win32,143.6781609,,,14.434,25.541,space,11.053,,-0.039583333,-0.270138889,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74fa55a3ef3060b87a4cec20,67d30250bc6dd184d4aaad81,67da9a39cd7820dc0403c1af,2025-03-19_11h19.48.595,Tarea de clasificación semántica,2024.2.5,Win32,143.6781609,,,25.542,30.679,space,5.089,,-0.041666667,-0.272916667,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""L"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""S"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").

Pulse la tecla ESPACIO para continuar.",1,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74fa55a3ef3060b87a4cec20,67d30250bc6dd184d4aaad81,67da9a39cd7820dc0403c1af,2025-03-19_11h19.48.595,Tarea de clasificación semántica,2024.2.5,Win32,143.6781609,,,30.68,33.091,space,2.388,,-0.041666667,-0.272916667,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,74fa55a3ef3060b87a4cec20,67d30250bc6dd184d4aaad81,67da9a39cd7820dc0403c1af,2025-03-19_11h19.48.595,Tarea de clasificación semántica,2024.2.5,Win32,143.6781609,,,61.914,63.554,space,1.615,,-0.041666667,-0.272916667,0,0,0,,,,,,,,,,,63.583,64.646,s,1,0.405,,0.405,1,64.646,65.147,65.147,65.148,-0.041666667,-0.272916667,0,0,0,,0,0,0,352,1,353,MAS,AGR,150,0,pueblo,el,6,,,,
,,,,,,,74fa55a3ef3060b87a4cec20,67d30250bc6dd184d4aaad81,67da9a39cd7820dc0403c1af,2025-03-19_11h19.48.595,Tarea de clasificación semántica,2024.2.5,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,65.148,66.19,l,1,0.386,,0.386,1,66.19,66.691,66.691,66.691,-0.041666667,-0.272916667,0,0,0,,0,1,1,451,1,452,FEM,DIS,150,1,sepia,el,5,,,,
,,,,,,,74fa55a3ef3060b87a4cec20,67d30250bc6dd184d4aaad81,67da9a39cd7820dc0403c1af,2025-03-19_11h19.48.595,Tarea de clasificación semántica,2024.2.5,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,66.691,67.678,l,1,0.331,,0.331,1,67.678,68.178,68.179,68.18,-0.041666667,-0.272916667,0,0,0,,0,2,2,455,1,456,FEM,DIS,150,1,rata,el,4,,,,
,,,,,,,74fa55a3ef3060b87a4cec20,67d30250bc6dd184d4aaad81,67da9a39cd7820dc0403c1af,2025-03-19_11h19.48.595,Tarea de clasificación semántica,2024.2.5,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,68.18,69.236,s,1,0.4,,0.4,1,69.236,69.736,69.736,69.736,-0.041666667,-0.272916667,0,0,0,,0,3,3,348,1,349,MAS,AGR,150,0,camino,el,6,,,,
,,,,,,,74fa55a3ef3060b87a4cec20,67d30250bc6dd184d4aaad81,67da9a39cd7820dc0403c1af,2025-03-19_11h19.48.595,Tarea de clasificación semántica,2024.2.5,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,69.737,71.001,s,1,0.609,,0.609,1,71.001,71.502,71.503,71.503,-0.041666667,-0.272916667,0,0,0,,0,4,4,132,1,133,FEM,AGR,150,0,pluma,la,5,,,,
