counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_keyboard.rt,instr_done_keyboard.duration,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
1,1,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",32,M,"[""none""]","[""english"",""spanish""]",88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,30.823,30.8236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,30.8752,51.5302,,0.000548246,-0.401864035,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,51.5421,61.68,space,0.492872807,-0.499451754,0,0,0,,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,10.0308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,61.6843,75.6883,space,0.492872807,-0.499451754,0,0,0,,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,13.9752,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,106.9511,140.1664,space,0.492872807,-0.499451754,0,0,0,,,,,,,,,,,,33.1909,0.0005,140.2698,141.307,l,1,0.3663,1,141.3071,141.8095,0.3663,,141.8116,141.8339,0.492872807,-0.499451754,0,0,0,,0,0,0,402,1,403,MAS,DIS,150,0,helado,la,6,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,141.8387,142.7927,l,1,0.2859,1,142.7932,143.2932,0.2859,,143.2934,143.294,0.492872807,-0.499451754,0,0,0,,0,1,1,381,1,382,MAS,AGR,150,0,jardín,el,6,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,143.3019,144.3089,s,0,0.334,0,144.3104,144.8101,0.334,,144.8146,144.8158,0.492872807,-0.499451754,0,0,0,,0,2,2,109,1,110,FEM,AGR,150,0,bruja,la,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,144.8172,145.642,s,0,0.1524,0,145.6423,146.1435,0.1524,,146.1437,146.1438,0.492872807,-0.499451754,0,0,0,,0,3,3,335,1,336,MAS,AGR,150,0,reino,el,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,146.146,146.9949,s,0,0.1698,0,146.9952,147.4959,0.1698,,147.4963,147.4971,0.492872807,-0.499451754,0,0,0,,0,4,4,69,1,70,FEM,AGR,150,0,noche,la,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,147.5017,148.3091,l,0,0.1345,0,148.3093,148.7971,0.1345,,148.7974,148.7984,0.492872807,-0.499451754,0,0,0,,0,5,5,539,1,540,MAS,AGR,150,1,cisne,el,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,148.8033,149.7432,s,0,0.2682,0,149.7433,150.2474,0.2682,,150.2476,150.2481,0.492872807,-0.499451754,0,0,0,,0,6,6,274,1,275,MAS,DIS,150,0,padre,la,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,150.2513,151.5282,s,1,0.5927,1,151.532,152.0323,0.5927,,152.0325,152.0332,0.492872807,-0.499451754,0,0,0,,0,7,7,453,1,454,FEM,AGR,150,1,rana,la,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,152.0375,153.0264,s,0,0.3158,0,153.0273,153.5222,0.3158,,153.5286,153.5313,0.492872807,-0.499451754,0,0,0,,0,8,8,302,1,303,MAS,DIS,150,0,baile,la,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,153.5354,154.3234,l,1,0.1261,1,154.3259,154.8286,0.1261,,154.8288,154.8292,0.492872807,-0.499451754,0,0,0,,0,9,9,16,1,17,FEM,DIS,150,0,caja,el,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,154.8346,155.6793,s,1,0.1842,1,155.6795,156.1688,0.1842,,156.1689,156.1698,0.492872807,-0.499451754,0,0,0,,0,10,10,460,1,461,FEM,DIS,150,1,pulga,el,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,156.1746,156.9018,l,1,0.0586,1,156.902,157.4022,0.0586,,157.4023,157.4027,0.492872807,-0.499451754,0,0,0,,0,11,11,235,1,236,MAS,AGR,150,0,rayo,el,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,157.4068,158.2205,s,0,0.137,0,158.225,158.7195,0.137,,158.7197,158.7201,0.492872807,-0.499451754,0,0,0,,0,12,12,55,1,56,FEM,AGR,150,0,nube,la,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,158.7238,159.5338,s,0,0.1352,0,159.5339,160.0377,0.1352,,160.0436,160.0458,0.492872807,-0.499451754,0,0,0,,0,13,13,111,1,112,FEM,AGR,150,0,deuda,la,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,160.0484,160.8555,l,1,0.139,1,160.8587,161.3551,0.139,,161.3554,161.3557,0.492872807,-0.499451754,0,0,0,,0,14,14,212,1,213,MAS,DIS,150,0,plan,la,4,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,161.3598,162.2046,s,1,0.1676,1,162.2049,162.7062,0.1676,,162.7064,162.707,0.492872807,-0.499451754,0,0,0,,0,15,15,498,1,499,MAS,DIS,150,1,cerdo,la,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,162.7119,163.5198,l,1,0.1347,1,163.5201,164.024,0.1347,,164.0243,164.0249,0.492872807,-0.499451754,0,0,0,,0,16,16,369,1,370,MAS,AGR,150,0,verano,el,6,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,164.0298,164.8244,s,0,0.1201,0,164.8293,165.3248,0.1201,,165.3251,165.3256,0.492872807,-0.499451754,0,0,0,,0,17,17,293,1,294,MAS,AGR,150,0,grupo,el,5,,,,
,,,,,,,88aa69479c3955017d3cda9b,67d30250bc6dd184d4aaad81,67d7efa7457d663a05a9dc81,2025-03-17_02h47.41.095,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,165.3319,166.102,s,0,0.111,0,166.1023,166.5927,0.111,,166.5929,166.5934,0.492872807,-0.499451754,0,0,0,,0,18,18,60,1,61,FEM,DIS,150,0,leña,el,4,,,,
