counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,0,"[""over_18"",""comfortable"",""consent_given"",""read_info""]",26,M,"[""none""]","[""spanish""]",8ab3562f58bf7ee6ef2748b2,67d30250bc6dd184d4aaad81,67d8a0d1054cd29994ab7407,2025-03-17_19h25.26.197,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8ab3562f58bf7ee6ef2748b2,67d30250bc6dd184d4aaad81,67d8a0d1054cd29994ab7407,2025-03-17_19h25.26.197,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,20.664,20.6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8ab3562f58bf7ee6ef2748b2,67d30250bc6dd184d4aaad81,67d8a0d1054cd29994ab7407,2025-03-17_19h25.26.197,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,20.673,21.53,space,0.8387,,0.066666667,-0.359259259,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8ab3562f58bf7ee6ef2748b2,67d30250bc6dd184d4aaad81,67d8a0d1054cd29994ab7407,2025-03-17_19h25.26.197,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,21.5311,22.6529,space,1.088,,0.048148148,-0.248148148,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8ab3562f58bf7ee6ef2748b2,67d30250bc6dd184d4aaad81,67d8a0d1054cd29994ab7407,2025-03-17_19h25.26.197,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,22.6543,23.7503,space,1.0841,,0.048148148,-0.248148148,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8ab3562f58bf7ee6ef2748b2,67d30250bc6dd184d4aaad81,67d8a0d1054cd29994ab7407,2025-03-17_19h25.26.197,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,50.2186,61.6322,space,11.4063,,0.048148148,-0.248148148,0,0,0,,,,,,,,,,,61.6568,62.6831,l,1,0.3666,,0.3666,1,62.6832,63.1832,63.1834,63.186,0.048148148,-0.248148148,0,0,0,,0,0,0,214,1,215,MAS,AGR,150,0,modo,el,4,,,,
,,,,,,,8ab3562f58bf7ee6ef2748b2,67d30250bc6dd184d4aaad81,67d8a0d1054cd29994ab7407,2025-03-17_19h25.26.197,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,63.1872,64.1555,s,1,0.3076,,0.3076,1,64.1556,64.6555,64.6556,64.6556,0.048148148,-0.248148148,0,0,0,,0,1,1,459,1,460,FEM,DIS,150,1,orca,el,4,,,,
,,,,,,,8ab3562f58bf7ee6ef2748b2,67d30250bc6dd184d4aaad81,67d8a0d1054cd29994ab7407,2025-03-17_19h25.26.197,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,64.6562,65.6781,l,1,0.365,,0.365,1,65.6782,66.1765,66.1771,66.1774,0.048148148,-0.248148148,0,0,0,,0,2,2,259,1,260,MAS,DIS,150,0,puño,la,4,,,,
,,,,,,,8ab3562f58bf7ee6ef2748b2,67d30250bc6dd184d4aaad81,67d8a0d1054cd29994ab7407,2025-03-17_19h25.26.197,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,66.1778,67.1379,s,0,0.3003,,0.3003,0,67.1383,67.6341,67.6341,67.6342,0.048148148,-0.248148148,0,0,0,,0,3,3,11,1,12,FEM,DIS,150,0,boca,el,4,,,,
,,,,,,,8ab3562f58bf7ee6ef2748b2,67d30250bc6dd184d4aaad81,67d8a0d1054cd29994ab7407,2025-03-17_19h25.26.197,Tarea de clasificación semántica,2024.2.5,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,67.6347,68.753,l,1,0.4632,,0.4632,1,68.7534,69.2546,69.2546,69.2546,0.048148148,-0.248148148,0,0,0,,0,4,4,382,1,383,MAS,AGR,150,0,pastel,el,6,,,,
