counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,0,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",27,M,"[""none""]","[""spanish""]",8ca633ec38c53085541acab6,67d30250bc6dd184d4aaad81,67d8a0dc71f8650a340e43ef,2025-03-17_16h28.53.937,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8ca633ec38c53085541acab6,67d30250bc6dd184d4aaad81,67d8a0dc71f8650a340e43ef,2025-03-17_16h28.53.937,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,68.1988,68.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8ca633ec38c53085541acab6,67d30250bc6dd184d4aaad81,67d8a0dc71f8650a340e43ef,2025-03-17_16h28.53.937,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,68.2236,80.3829,space,12.1226,,0.155555556,-0.093333333,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8ca633ec38c53085541acab6,67d30250bc6dd184d4aaad81,67d8a0dc71f8650a340e43ef,2025-03-17_16h28.53.937,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,80.3874,90.7279,space,10.2625,,0.372222222,-0.115555556,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8ca633ec38c53085541acab6,67d30250bc6dd184d4aaad81,67d8a0dc71f8650a340e43ef,2025-03-17_16h28.53.937,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,90.7332,101.2443,space,10.4859,,0.372222222,-0.115555556,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8ca633ec38c53085541acab6,67d30250bc6dd184d4aaad81,67d8a0dc71f8650a340e43ef,2025-03-17_16h28.53.937,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,130.8482,137.71,space,6.8447,,0.372222222,-0.115555556,0,0,0,,,,,,,,,,,137.7816,138.8269,l,1,0.374,,0.374,1,138.8271,139.3272,139.3278,139.3329,0.372222222,-0.115555556,0,0,0,,0,0,0,282,1,283,MAS,AGR,150,0,sitio,el,5,,,,
,,,,,,,8ca633ec38c53085541acab6,67d30250bc6dd184d4aaad81,67d8a0dc71f8650a340e43ef,2025-03-17_16h28.53.937,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,139.3339,140.377,s,1,0.376,,0.376,1,140.3773,140.877,140.8773,140.8776,0.372222222,-0.115555556,0,0,0,,0,1,1,489,1,490,MAS,DIS,150,1,lobo,la,4,,,,
,,,,,,,8ca633ec38c53085541acab6,67d30250bc6dd184d4aaad81,67d8a0dc71f8650a340e43ef,2025-03-17_16h28.53.937,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,140.879,141.9938,l,1,0.4429,,0.4429,1,141.994,142.4944,142.4984,142.4999,0.372222222,-0.115555556,0,0,0,,0,2,2,201,1,202,FEM,DIS,150,0,corona,el,6,,,,
,,,,,,,8ca633ec38c53085541acab6,67d30250bc6dd184d4aaad81,67d8a0dc71f8650a340e43ef,2025-03-17_16h28.53.937,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,142.5016,143.5603,l,1,0.3927,,0.3927,1,143.5606,144.0612,144.0614,144.0615,0.372222222,-0.115555556,0,0,0,,0,3,3,114,1,115,FEM,AGR,150,0,frase,la,5,,,,
,,,,,,,8ca633ec38c53085541acab6,67d30250bc6dd184d4aaad81,67d8a0dc71f8650a340e43ef,2025-03-17_16h28.53.937,Tarea de clasificación semántica,2024.2.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,144.0645,145.1436,s,1,0.4105,,0.4105,1,145.1438,145.6441,145.6443,145.6445,0.372222222,-0.115555556,0,0,0,,0,4,4,541,1,542,MAS,DIS,150,1,gecko,la,5,,,,
