counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,instr_done_keyboard.rt,instr_done_keyboard.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,0,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",24,M,"[""none""]","[""english"",""spanish""]",9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,20.0557,20.0559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,20.067,21.3369,,-0.137037037,-0.387037037,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,21.3401,24.0181,,-0.137037037,-0.387037037,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,24.0236,25.2171,,-0.137037037,-0.387037037,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,120.0603,126.1178,space,-0.133333333,-0.387037037,0,0,0,,,,,,,,,,,,126.2062,127.4334,s,1,0.5454,,0.5454,1,127.4337,127.9331,6.0341,,127.9348,127.9383,-0.133333333,-0.387037037,0,0,0,,0,0,0,481,1,482,FEM,DIS,150,1,avispa,el,6,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,127.939,129.0825,s,1,0.4662,,0.4662,1,129.0831,129.5815,,,129.5817,129.582,-0.133333333,-0.387037037,0,0,0,,0,1,1,456,1,457,FEM,AGR,150,1,vaca,la,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,129.5844,130.8634,l,1,0.6061,,0.6061,1,130.8638,131.3635,,,131.3663,131.3668,-0.133333333,-0.387037037,0,0,0,,0,2,2,215,1,216,MAS,DIS,150,0,tren,la,4,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,131.3672,132.6629,l,1,0.6176,,0.6176,1,132.6633,133.1619,,,133.1622,133.1625,-0.133333333,-0.387037037,0,0,0,,0,3,3,388,1,389,MAS,AGR,150,0,rostro,el,6,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,133.1647,134.4447,l,1,0.6007,,0.6007,1,134.445,134.9442,,,134.9445,134.9448,-0.133333333,-0.387037037,0,0,0,,0,4,4,311,1,312,MAS,DIS,150,0,nivel,la,5,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,134.9469,136.2921,l,1,0.6701,,0.6701,1,136.2922,136.7928,,,136.7931,136.7943,-0.133333333,-0.387037037,0,0,0,,0,5,5,349,1,350,MAS,DIS,150,0,equipo,la,6,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,136.7956,137.9583,l,1,0.4841,,0.4841,1,137.9587,138.4584,,,138.4588,138.4593,-0.133333333,-0.387037037,0,0,0,,0,6,6,165,1,166,FEM,DIS,150,0,piedra,el,6,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,138.4611,139.6407,l,1,0.5005,,0.5005,1,139.641,140.1399,,,140.1401,140.1405,-0.133333333,-0.387037037,0,0,0,,0,7,7,400,1,401,MAS,AGR,150,0,sótano,el,6,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,140.1433,141.3053,l,1,0.4839,,0.4839,1,141.3057,141.8052,,,141.808,141.8087,-0.133333333,-0.387037037,0,0,0,,0,8,8,284,1,285,MAS,AGR,150,0,libro,el,5,,,,
,,,,,,,9639d66aab3fc89f4ef8d852,67d30250bc6dd184d4aaad81,67d88b637588ce921459599b,2025-03-17_14h59.56.024,Tarea de clasificación semántica,2024.2.5,Win32,63.29113924,,,,,,,,,,,,,,,,,,,,,,141.8093,143.004,l,1,0.517,,0.517,1,143.0044,143.5035,,,143.5038,143.5042,-0.133333333,-0.387037037,0,0,0,,0,9,9,146,1,147,FEM,AGR,150,0,manera,la,6,,,,
