counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,2,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",24,M,"[""none""]","[""spanish""]",a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,20.7573,20.7577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,20.8047,35.6769,space,14.8332,,0.169444473,-0.204629616,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,35.6838,56.5998,space,20.8463,,0.169444473,-0.204629616,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""L"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""S"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").

Pulse la tecla ESPACIO para continuar.",1,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,56.6085,65.3528,space,8.7102,,0.169444473,-0.204629616,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,97.1737,103.6506,space,6.4511,,0.169444473,-0.204629616,0,0,0,,,,,,,,,,,103.7194,105.0177,s,1,0.6196,,0.6196,1,105.018,105.518,105.5186,105.5297,0.169444473,-0.204629616,0,0,0,,0,0,0,18,1,19,FEM,AGR,150,0,sala,la,4,,,,
,,,,,,,a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,105.5314,106.8017,s,1,0.6098,,0.6098,1,106.8019,107.3022,107.3023,107.3026,0.169444473,-0.204629616,0,0,0,,0,1,1,98,1,99,FEM,AGR,150,0,salud,la,5,,,,
,,,,,,,a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,107.3055,108.4692,s,1,0.4841,,0.4841,1,108.4693,108.9693,108.9718,108.9734,0.169444473,-0.204629616,0,0,0,,0,2,2,151,1,152,FEM,DIS,150,0,música,el,6,,,,
,,,,,,,a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,108.9763,110.1699,s,1,0.5182,,0.5182,1,110.17,110.6701,110.6702,110.6704,0.169444473,-0.204629616,0,0,0,,0,3,3,294,1,295,MAS,AGR,150,0,barco,el,5,,,,
,,,,,,,a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,110.6738,111.7537,s,1,0.4091,,0.4091,1,111.7538,112.2538,112.254,112.2542,0.169444473,-0.204629616,0,0,0,,0,4,4,276,1,277,MAS,AGR,150,0,amigo,el,5,,,,
,,,,,,,a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,112.256,113.3537,l,1,0.4261,,0.4261,1,113.3537,113.854,113.8541,113.8543,0.169444473,-0.204629616,0,0,0,,0,5,5,555,1,556,MAS,DIS,150,1,ciervo,la,6,,,,
,,,,,,,a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,113.8556,114.9713,s,1,0.4441,,0.4441,1,114.9715,115.4716,115.4718,115.4719,0.169444473,-0.204629616,0,0,0,,0,6,6,55,1,56,FEM,DIS,150,0,nube,el,4,,,,
,,,,,,,a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,115.4738,116.7389,s,1,0.5918,,0.5918,1,116.739,117.239,117.2392,117.2394,0.169444473,-0.204629616,0,0,0,,0,7,7,116,1,117,FEM,AGR,150,0,crema,la,5,,,,
,,,,,,,a490f795820a6723ddf59a4c,67d30250bc6dd184d4aaad81,67d5cf4a3014b1729e4335b8,2025-03-15_16h05.39.345,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,117.2419,118.4058,l,1,0.4841,,0.4841,1,118.4059,118.9064,118.9096,118.9111,0.169444473,-0.204629616,0,0,0,,0,8,8,475,1,476,FEM,DIS,150,1,grulla,el,6,,,,
