counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,End.started,End.stopped
1,3,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",38,NB,"[""none""]","[""spanish""]",af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,18.9425,18.9426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,18.956,31.0704,,-0.007407407,-0.397222222,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,31.0726,46.0906,,0.133333333,-0.389814815,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""L"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""S"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").

Pulse la tecla ESPACIO para continuar.",1,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,46.0926,49.8473,,0.055555556,-0.383333333,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,79.1332,85.4369,,0.065740741,-0.400925926,1,0,0,instr_done_button,,,,,,,,,,,85.4794,87.0617,s,1,0.925,1,87.0618,87.5617,0.925,,87.5621,87.5645,0.065740741,-0.400925926,0,0,0,,0,0,0,281,1,282,MAS,AGR,150,0,juego,el,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,87.5651,88.8812,s,1,0.6527,1,88.8814,89.3812,0.6527,,89.3813,89.3814,0.065740741,-0.400925926,0,0,0,,0,1,1,106,1,107,FEM,DIS,150,0,pieza,el,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,89.3822,90.5895,s,1,0.5487,1,90.5896,91.0893,0.5487,,91.0903,91.0907,0.065740741,-0.400925926,0,0,0,,0,2,2,236,1,237,MAS,DIS,150,0,muro,la,4,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,91.0912,92.1659,l,1,0.4171,1,92.166,92.6658,0.4171,,92.6659,92.666,0.065740741,-0.400925926,0,0,0,,0,3,3,445,1,446,FEM,AGR,150,1,urraca,la,6,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,92.6668,93.7769,s,1,0.4516,1,93.777,94.2769,0.4516,,94.277,94.2771,0.065740741,-0.400925926,0,0,0,,0,4,4,295,1,296,MAS,AGR,150,0,avión,el,5,,,
,,,,,,,af35b5dc64e29a0c5efbe810,67d30250bc6dd184d4aaad81,67d9265e17a4e74db886d35d,2025-03-18_01h59.59.414,Tarea de clasificación semántica,2024.2.5,Win32,140.8450704,,,,,,,,,,,,,,,,,,,,,,94.2777,95.513,s,1,0.5782,1,95.5131,96.0132,0.5782,,96.0132,96.0134,0.065740741,-0.400925926,0,0,0,,0,5,5,71,1,72,FEM,AGR,150,0,mujer,la,5,,,
