counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,0,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",30,M,"[""none""]","[""spanish""]",b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,68.097,68.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,68.1108,78.793,space,10.6615,,0.952083333,0.056944444,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,78.7942,86.9258,space,8.0983,,0.952083333,0.056944444,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,86.9273,94.6705,space,7.737,,0.952083333,0.056944444,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,121.9869,129.0955,space,7.1018,,0.952083333,0.056944444,0,0,0,,,,,,,,,,,129.1263,130.2557,s,1,0.4738,,0.4738,1,130.2558,130.753,130.7532,130.7551,0.952083333,0.056944444,0,0,0,,0,0,0,496,1,497,MAS,AGR,150,1,atún,el,4,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,,,,,,,,,,,,,,,,,,,,,130.7555,131.7418,l,1,0.3288,,0.3288,1,131.7418,132.2391,132.2391,132.2392,0.952083333,0.056944444,0,0,0,,0,1,1,382,1,383,MAS,AGR,150,0,pastel,el,6,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,,,,,,,,,,,,,,,,,,,,,132.2398,133.2908,s,0,0.3993,,0.3993,0,133.2912,133.788,133.7885,133.7889,0.952083333,0.056944444,0,0,0,,0,2,2,64,1,65,FEM,AGR,150,0,pipa,la,4,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,,,,,,,,,,,,,,,,,,,,,133.7894,134.834,l,1,0.3936,,0.3936,1,134.8346,135.3312,135.3312,135.3313,0.952083333,0.056944444,0,0,0,,0,3,3,82,1,83,FEM,AGR,150,0,línea,la,5,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,,,,,,,,,,,,,,,,,,,,,135.3319,136.3772,l,1,0.3933,,0.3933,1,136.3772,136.8743,136.8744,136.8745,0.952083333,0.056944444,0,0,0,,0,4,4,354,1,355,MAS,AGR,150,0,marido,el,6,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,,,,,,,,,,,,,,,,,,,,,136.8752,137.8061,s,1,0.275,,0.275,1,137.8061,138.3033,138.3034,138.3034,0.952083333,0.056944444,0,0,0,,0,5,5,464,1,465,FEM,AGR,150,1,cabra,la,5,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,,,,,,,,,,,,,,,,,,,,,138.304,139.3778,s,0,0.4188,,0.4188,0,139.3783,139.8751,139.8752,139.8752,0.952083333,0.056944444,0,0,0,,0,6,6,45,1,46,FEM,DIS,150,0,capa,el,4,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,,,,,,,,,,,,,,,,,,,,,139.8757,140.9725,l,1,0.4414,,0.4414,1,140.9729,141.4697,141.4698,141.4698,0.952083333,0.056944444,0,0,0,,0,7,7,415,1,416,MAS,DIS,150,0,aceite,la,6,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,,,,,,,,,,,,,,,,,,,,,141.4706,142.4929,s,1,0.3677,,0.3677,1,142.493,142.9901,142.9907,142.991,0.952083333,0.056944444,0,0,0,,0,8,8,469,1,470,FEM,DIS,150,1,araña,el,5,,,,
,,,,,,,b8780e3e38ad98d800450932,67d30250bc6dd184d4aaad81,67d822d8e9303cee5d93ac57,2025-03-17_07h26.26.633,Tarea de clasificación semántica,2024.2.5,Win32,175.4385965,,,,,,,,,,,,,,,,,,,,,,,142.9913,144.0075,l,1,0.3614,,0.3614,1,144.0076,144.5047,144.5048,144.5049,0.952083333,0.056944444,0,0,0,,0,9,9,38,1,39,FEM,AGR,150,0,cima,la,4,,,,
