counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
1,1,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",18,M,"[""none""]","[""english"",""spanish""]",c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,21.8615,21.8617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,21.8838,53.7167,space,31.7993,,0.452534722,-0.134787326,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,53.7195,64.6,space,10.8403,,0.452534722,-0.134787326,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,64.6025,75.2341,space,10.6061,,0.452534722,-0.134787326,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,108.0717,110.3353,space,2.2385,,0.452534722,-0.134787326,0,0,0,,,,,,,,,,,110.4263,111.835,l,1,0.7331,1,111.8361,112.3353,0.7331,,112.3358,112.3396,0.452534722,-0.134787326,0,0,0,,0,0,0,317,1,318,MAS,AGR,150,0,hielo,el,5,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,112.3407,113.5851,l,1,0.5666,1,113.5852,114.0852,0.5666,,114.0853,114.0855,0.452534722,-0.134787326,0,0,0,,0,1,1,51,1,52,FEM,AGR,150,0,gota,la,4,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,114.0872,115.2853,l,1,0.5198,1,115.2855,115.7852,0.5198,,115.7869,115.7884,0.452534722,-0.134787326,0,0,0,,0,2,2,400,1,401,MAS,DIS,150,0,sótano,la,6,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,115.7895,117.0187,l,1,0.5499,1,117.0188,117.5187,0.5499,,117.5188,117.519,0.452534722,-0.134787326,0,0,0,,0,3,3,99,1,100,FEM,AGR,150,0,cinta,la,5,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,117.5205,118.6352,l,1,0.4453,1,118.6352,119.1355,0.4453,,119.1355,119.1358,0.452534722,-0.134787326,0,0,0,,0,4,4,13,1,14,FEM,AGR,150,0,pena,la,4,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,119.1374,120.2018,l,1,0.3831,1,120.202,120.7021,0.3831,,120.7021,120.7024,0.452534722,-0.134787326,0,0,0,,0,5,5,3,1,4,FEM,AGR,150,0,hora,la,4,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,120.704,121.7855,l,1,0.3998,1,121.7856,122.2856,0.3998,,122.2857,122.286,0.452534722,-0.134787326,0,0,0,,0,6,6,180,1,181,FEM,DIS,150,0,página,el,6,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,122.2877,123.7021,l,1,0.7337,1,123.7022,124.2022,0.7337,,124.2024,124.2025,0.452534722,-0.134787326,0,0,0,,0,7,7,187,1,188,FEM,AGR,150,0,gloria,la,6,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,124.204,125.3022,l,1,0.4173,1,125.3023,125.8024,0.4173,,125.8041,125.8056,0.452534722,-0.134787326,0,0,0,,0,8,8,227,1,228,MAS,AGR,150,0,odio,el,4,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,125.8066,127.0022,l,1,0.5286,1,127.0023,127.5023,0.5286,,127.5024,127.5025,0.452534722,-0.134787326,0,0,0,,0,9,9,364,1,365,MAS,DIS,150,0,abuelo,la,6,,,,
,,,,,,,c7a447d62d1dc20505725256,67d30250bc6dd184d4aaad81,67d88b70952cfe780361c507,2025-03-17_14h52.14.360,Tarea de clasificación semántica,2024.2.5,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,127.5037,128.8024,s,1,0.6214,1,128.8026,129.3024,0.6214,,129.3025,129.3028,0.452534722,-0.134787326,0,0,0,,0,10,10,468,1,469,FEM,DIS,150,1,yegua,el,5,,,,
