counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/first_language,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/gender,consent_prescreening.block_1/age_years,consent_prescreening.block_1/declare_consent,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,0,"[""spanish""]","[""none""]",M,23,"[""read_info"",""consent_given"",""comfortable"",""over_18""]",d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,62.7158,62.7164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,62.7818,63.8607,space,0.9963,,-0.210185157,-0.05,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,63.8698,64.1873,space,0.173,,-0.210185157,-0.05,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,64.198,64.5705,space,0.3435,,-0.210185157,-0.05,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,114.4992,116.383,space,1.8575,,-0.157407379,-0.085185199,0,0,0,,,,,,,,,,,116.5256,117.9332,l,1,0.7365,,0.7365,1,117.9337,118.4334,118.4352,118.4461,-0.157407379,-0.085185199,0,0,0,,0,0,0,11,1,12,FEM,DIS,150,0,boca,el,4,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,118.4489,120.9171,l,1,1.8037,,1.8037,1,120.9179,121.4171,121.4177,121.4186,-0.157407379,-0.085185199,0,0,0,,0,1,1,208,1,209,MAS,AGR,150,0,tipo,el,4,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,121.4245,124.0063,s,0,1.9147,,1.9147,0,124.0082,124.5,124.5063,124.5088,-0.157407379,-0.085185199,0,0,0,,0,2,2,82,1,83,FEM,AGR,150,0,línea,la,5,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,124.5122,125.2913,l,0,0.1154,,0.1154,0,125.2915,125.7834,125.7841,125.785,-0.157407379,-0.085185199,0,0,0,,0,3,3,496,1,497,MAS,AGR,150,1,atún,el,4,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,125.7896,128.433,,0,,,0.1154,-1,128.4372,128.9325,128.933,128.9339,-0.157407379,-0.085185199,0,0,0,,0,4,4,475,1,476,FEM,DIS,150,1,grulla,el,6,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,128.9359,131.5879,,0,,,0.1154,-1,131.5882,132.0825,132.0829,132.0838,-0.157407379,-0.085185199,0,0,0,,0,5,5,392,1,393,MAS,AGR,150,0,barrio,el,6,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,132.0862,133.4915,s,0,0.747,,0.747,0,133.4947,133.9812,133.9814,133.9819,-0.157407379,-0.085185199,0,0,0,,0,6,6,132,1,133,FEM,AGR,150,0,pluma,la,5,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,133.9874,135.3482,s,0,0.6876,,0.6876,0,135.3486,135.8485,135.8486,135.8491,-0.157407379,-0.085185199,0,0,0,,0,7,7,60,1,61,FEM,AGR,150,0,leña,la,4,,,,,
,,,,,,,d1a05a2052b6ffc8bdf2aa06,67d30250bc6dd184d4aaad81,67d80b68c77378bcb2675540,2025-03-17_17h19.20.281,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,135.8528,136.749,l,1,0.2217,,0.2217,1,136.7525,137.2483,137.2572,137.2593,-0.157407379,-0.085185199,0,0,0,,0,8,8,335,1,336,MAS,DIS,150,0,reino,la,5,,,,,
