counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,2,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",28,M,"[""none""]","[""spanish""]",d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,22.1129,22.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,22.1248,39.0892,space,16.9424,,0.013888889,-0.314814815,0,0,0,,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,39.0905,55.6891,space,16.5646,,0.013888889,-0.314814815,0,0,0,,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""L"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""S"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").

Pulse la tecla ESPACIO para continuar.",1,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,55.6905,70.0591,space,14.3501,,0.013888889,-0.314814815,0,0,0,,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,101.7942,110.9928,space,9.1832,,0.013888889,-0.314814815,0,0,0,,,,,,,,,,,,111.0259,112.2228,s,1,0.5257,1,112.2228,112.7228,0.5257,,112.723,112.7251,0.013888889,-0.314814815,0,0,0,,0,0,0,301,1,302,MAS,DIS,150,0,banco,la,5,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,112.7256,113.8061,s,1,0.4109,1,113.8061,114.3062,0.4109,,114.3062,114.3063,0.013888889,-0.314814815,0,0,0,,0,1,1,324,1,325,MAS,AGR,150,0,polvo,el,5,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,114.3068,115.8395,l,0,0.8611,0,115.8398,116.3395,0.8611,,116.3402,116.3404,0.013888889,-0.314814815,0,0,0,,0,2,2,306,1,307,MAS,AGR,150,0,huevo,el,5,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,116.3408,117.5562,s,1,0.5368,1,117.5566,118.0561,0.5368,,118.0561,118.0562,0.013888889,-0.314814815,0,0,0,,0,3,3,237,1,238,MAS,DIS,150,0,palo,la,4,,,,,
,,,,,,,d7eea95360e6db23e080dec1,67d30250bc6dd184d4aaad81,67d9af59752d01ea00d082fc,2025-03-18_12h29.37.650,Tarea de clasificación semántica,2024.2.5,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,118.0566,119.3561,s,1,0.6221,1,119.3561,119.8561,0.6221,,119.8562,119.8562,0.013888889,-0.314814815,0,0,0,,0,4,4,58,1,59,FEM,AGR,150,0,tela,la,4,,,,,
