counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,rt,corr,feedback.started,feedback.stopped,response.rt,response.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,2,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",27,M,"[""none""]","[""english"",""spanish""]",e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,41.7898,41.7906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,41.8785,147.9783,space,106.0369,,-0.154947917,-0.325520833,0,0,0,,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,147.9902,207.4003,space,59.2996,,-0.36328125,-0.376302083,0,0,0,,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""L"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""S"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").

Pulse la tecla ESPACIO para continuar.",1,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,207.4095,215.429,space,7.9978,,-0.36328125,-0.376302083,0,0,0,,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseNA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,245.031,246.7879,space,1.7343,,-0.36328125,-0.376302083,0,0,0,,,,,,,,,,,,246.9452,248.436,s,1,0.8215,1,248.4363,248.9352,0.8215,,248.9362,248.9484,-0.36328125,-0.376302083,0,0,0,,0,0,0,133,1,134,FEM,DIS,150,0,fruta,el,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,248.9516,250.1173,s,1,0.5066,1,250.1177,250.6165,0.5066,,250.6167,250.6172,-0.36328125,-0.376302083,0,0,0,,0,1,1,46,1,47,FEM,AGR,150,0,fuga,la,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,250.6207,251.7986,l,0,0.5019,0,251.801,252.2981,0.5019,,252.3021,252.3039,-0.36328125,-0.376302083,0,0,0,,0,2,2,11,1,12,FEM,DIS,150,0,boca,el,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,252.3058,253.4137,s,1,0.4359,1,253.4159,253.9129,0.4359,,253.9131,253.9135,-0.36328125,-0.376302083,0,0,0,,0,3,3,218,1,219,MAS,AGR,150,0,voto,el,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,253.9161,255.1289,s,1,0.5438,1,255.1292,255.6276,0.5438,,255.6278,255.6282,-0.36328125,-0.376302083,0,0,0,,0,4,4,338,1,339,MAS,AGR,150,0,piano,el,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,255.6311,256.9095,s,0,0.6066,0,256.9123,257.4086,0.6066,,257.4088,257.4094,-0.36328125,-0.376302083,0,0,0,,0,5,5,467,1,468,FEM,DIS,150,1,oveja,el,5,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,257.412,258.6073,s,1,0.5175,1,258.6096,259.1069,0.5175,,259.1071,259.1077,-0.36328125,-0.376302083,0,0,0,,0,6,6,38,1,39,FEM,AGR,150,0,cima,la,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,259.1102,260.4908,l,0,0.7112,0,260.4924,260.9881,0.7112,,260.9883,260.9887,-0.36328125,-0.376302083,0,0,0,,0,7,7,19,1,20,FEM,DIS,150,0,obra,el,4,,,,
,,,,,,,e07024a084e50da03e152c6e,67d30250bc6dd184d4aaad81,67d818d6e53c0087734f5933,2025-03-17_07h48.45.845,Tarea de clasificación semántica,2024.2.5,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,260.9918,262.0533,l,1,0.3852,1,262.0556,262.5527,0.3852,,262.5562,262.5581,-0.36328125,-0.376302083,0,0,0,,0,8,8,459,1,460,FEM,DIS,150,1,orca,el,4,,,,
