counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,0,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",32,M,"[""none""]","[""spanish""]",ea6b1e9979d33e7ba2abf93d,67d30250bc6dd184d4aaad81,67d8a0e1e0cbf7b0b6fd6feb,2025-03-17_16h23.48.182,Tarea de clasificación semántica,2024.2.5,Win32,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ea6b1e9979d33e7ba2abf93d,67d30250bc6dd184d4aaad81,67d8a0e1e0cbf7b0b6fd6feb,2025-03-17_16h23.48.182,Tarea de clasificación semántica,2024.2.5,Win32,120.4819277,43.4312,43.4314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ea6b1e9979d33e7ba2abf93d,67d30250bc6dd184d4aaad81,67d8a0e1e0cbf7b0b6fd6feb,2025-03-17_16h23.48.182,Tarea de clasificación semántica,2024.2.5,Win32,120.4819277,,,43.4502,54.2325,space,10.7508,,0.437962991,-0.061111132,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ea6b1e9979d33e7ba2abf93d,67d30250bc6dd184d4aaad81,67d8a0e1e0cbf7b0b6fd6feb,2025-03-17_16h23.48.182,Tarea de clasificación semántica,2024.2.5,Win32,120.4819277,,,54.2418,75.803,space,21.5084,,0.437962991,-0.061111132,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ea6b1e9979d33e7ba2abf93d,67d30250bc6dd184d4aaad81,67d8a0e1e0cbf7b0b6fd6feb,2025-03-17_16h23.48.182,Tarea de clasificación semántica,2024.2.5,Win32,120.4819277,,,75.8059,89.3374,space,13.5209,,0.437962991,-0.061111132,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ea6b1e9979d33e7ba2abf93d,67d30250bc6dd184d4aaad81,67d8a0e1e0cbf7b0b6fd6feb,2025-03-17_16h23.48.182,Tarea de clasificación semántica,2024.2.5,Win32,120.4819277,,,118.614,125.3993,space,6.7703,,0.437962991,-0.061111132,0,0,0,,,,,,,,,,,125.4492,126.8801,l,0,0.7658,,0.7658,0,126.881,127.3793,127.3798,127.384,0.437962991,-0.061111132,0,0,0,,0,0,0,549,1,550,MAS,DIS,150,1,chacal,la,6,,,,
,,,,,,,ea6b1e9979d33e7ba2abf93d,67d30250bc6dd184d4aaad81,67d8a0e1e0cbf7b0b6fd6feb,2025-03-17_16h23.48.182,Tarea de clasificación semántica,2024.2.5,Win32,120.4819277,,,,,,,,,,,,,,,,,,,,,,,127.3847,128.577,s,1,0.5364,,0.5364,1,128.5778,129.0762,129.0762,129.0764,0.437962991,-0.061111132,0,0,0,,0,1,1,495,1,496,MAS,DIS,150,1,loro,la,4,,,,
,,,,,,,ea6b1e9979d33e7ba2abf93d,67d30250bc6dd184d4aaad81,67d8a0e1e0cbf7b0b6fd6feb,2025-03-17_16h23.48.182,Tarea de clasificación semántica,2024.2.5,Win32,120.4819277,,,,,,,,,,,,,,,,,,,,,,,129.0773,130.1658,l,1,0.43,,0.43,1,130.1659,130.665,130.6662,130.6668,0.437962991,-0.061111132,0,0,0,,0,2,2,353,1,354,MAS,DIS,150,0,minuto,la,6,,,,
,,,,,,,ea6b1e9979d33e7ba2abf93d,67d30250bc6dd184d4aaad81,67d8a0e1e0cbf7b0b6fd6feb,2025-03-17_16h23.48.182,Tarea de clasificación semántica,2024.2.5,Win32,120.4819277,,,,,,,,,,,,,,,,,,,,,,,130.6673,131.7883,s,1,0.459,,0.459,1,131.7884,132.2874,132.2875,132.2876,0.437962991,-0.061111132,0,0,0,,0,3,3,498,1,499,MAS,AGR,150,1,cerdo,el,5,,,,
,,,,,,,ea6b1e9979d33e7ba2abf93d,67d30250bc6dd184d4aaad81,67d8a0e1e0cbf7b0b6fd6feb,2025-03-17_16h23.48.182,Tarea de clasificación semántica,2024.2.5,Win32,120.4819277,,,,,,,,,,,,,,,,,,,,,,,132.2888,133.4187,s,0,0.4689,,0.4689,0,133.4196,133.9177,133.9179,133.9181,0.437962991,-0.061111132,0,0,0,,0,4,4,9,1,10,FEM,DIS,150,0,niña,el,4,,,,
