word	frq	zipf	num_letters	
casa	1349.157424	6.130063	4	
vida	1101.318898	6.041913	4	
cosa	627.889447	5.797883	4	
hijo	674.092343	5.828719	4	
tipo	622.364295	5.794045	4	
lado	360.215711	5.556563	4	
hora	469.352598	5.671499	4	
idea	441.891122	5.645315	4	
mamá	550.429234	5.740701	4	
niño	272.401243	5.435209	4	
país	172.196253	5.236024	4	
plan	161.277808	5.207575	4	
hija	272.167785	5.434837	4	
cara	269.742425	5.430949	4	
cama	177.773284	5.249866	4	
baño	123.695533	5.092354	4	
modo	140.495800	5.147663	4	
tren	108.635386	5.035971	4	
niña	157.951044	5.198523	4	
ropa	143.630178	5.157246	4	
boca	135.271116	5.131205	4	
pelo	112.915434	5.052753	4	
rato	85.335067	4.931128	4	
voto	21.348358	4.329364	4	
nave	130.882987	5.116883	4	
pena	129.196907	5.111252	4	
mesa	110.583024	5.043688	4	
club	85.724163	4.933103	4	
frío	85.596626	4.932457	4	
cine	61.046879	4.785663	4	
edad	111.700592	5.048055	4	
caja	106.504009	5.027366	4	
boda	90.397629	4.956157	4	
gato	54.970508	4.740130	4	
taxi	58.852814	4.769767	4	
dedo	43.859678	4.642065	4	
sala	92.498743	4.966136	4	
obra	69.840431	4.844107	4	
luna	84.485543	4.926782	4	
dios	1198.004738	6.078459	4	
bote	42.398410	4.627350	4	
show	44.821608	4.651487	4	
nena	82.023435	4.913938	4	
zona	78.534548	4.895061	4	
isla	72.408459	4.859789	4	
odio	141.235081	5.149943	4	
olor	37.720620	4.576579	4	
loco	267.178720	5.426802	4	
piel	62.743766	4.797571	4	
dama	53.314692	4.726847	4	
bala	49.233516	4.692261	4	
lago	37.517426	4.574233	4	
vaso	31.596694	4.499642	4	
humo	28.974624	4.462018	4	
taza	30.937394	4.490484	4	
bola	32.839637	4.516398	4	
moda	27.822470	4.444396	4	
mono	34.988307	4.543923	4	
lobo	28.492579	4.454732	4	
tono	21.261892	4.327602	4	
ruta	28.922745	4.461240	4	
sopa	30.258639	4.480849	4	
fila	27.072381	4.432526	4	
saco	30.431570	4.483324	4	
rayo	22.701545	4.356055	4	
muro	20.823079	4.318545	4	
miel	27.534972	4.439885	4	
pata	24.845892	4.395255	4	
rata	25.278220	4.402746	4	
palo	19.928160	4.299467	4	
pozo	18.421497	4.265325	4	
hoyo	16.945097	4.229044	4	
roca	24.744295	4.393475	4	
flor	25.289028	4.402932	4	
caza	26.646538	4.425641	4	
lujo	16.558163	4.219012	4	
pico	18.533902	4.267967	4	
oído	168.504171	5.226611	4	
mina	24.398432	4.387362	4	
vaca	20.663118	4.315196	4	
cima	18.015109	4.255637	4	
tubo	16.188523	4.209207	4	
nene	17.587104	4.245194	4	
mago	20.127031	4.303780	4	
gira	30.697451	4.487102	4	
cruz	26.964299	4.430789	4	
risa	17.932967	4.253652	4	
pavo	14.461372	4.160209	4	
maíz	14.093894	4.149031	4	
león	20.023273	4.301535	4	
hoja	16.635982	4.221048	4	
masa	16.363616	4.213879	4	
lata	15.851307	4.200065	4	
cabo	50.597511	4.704129	4	
tomo	37.900036	4.578640	4	
pato	13.856113	4.141641	4	
capa	16.363616	4.213879	4	
fuga	14.776972	4.169585	4	
fase	16.097734	4.206765	4	
nido	11.981971	4.078528	4	
giro	12.889860	4.110248	4	
coro	11.437238	4.058321	4	
fama	15.077440	4.178328	4	
vela	14.772649	4.169458	4	
jefa	19.692542	4.294302	4	
test	10.838464	4.034968	4	
cubo	11.337802	4.054529	4	
hilo	10.375873	4.016025	4	
gota	13.562130	4.132328	4	
rosa	36.942430	4.567525	4	
goma	11.041658	4.043034	4	
reto	11.776615	4.071020	4	
toro	12.844466	4.108716	4	
menú	9.154546	3.961637	4	
seda	11.404813	4.057088	4	
nube	11.830656	4.073009	4	
raya	11.158386	4.047601	4	
baúl	8.298536	3.919001	4	
mito	8.901634	3.949470	4	
puño	9.908958	3.996028	4	
pila	10.118637	4.005122	4	
loca	111.023999	5.045417	4	
tela	8.944867	3.951574	4	
clan	10.821170	4.034274	4	
bate	8.644399	3.936735	4	
lazo	7.459820	3.872728	4	
cuna	8.255304	3.916733	4	
leña	6.975613	3.843582	4	
rana	8.309345	3.919567	4	
yate	7.273919	3.861768	4	
kilo	7.044785	3.847868	4	
velo	6.742156	3.828799	4	
joya	7.280404	3.862155	4	
rama	8.289890	3.918549	4	
raíz	7.291212	3.862800	4	
vago	9.522025	3.978729	4	
coco	10.036495	4.001582	4	
luto	5.596486	3.747915	4	
pipa	8.136413	3.910433	4	
mula	5.983420	3.776949	4	
cera	6.139058	3.788102	4	
lodo	5.564062	3.745392	4	
faro	5.931541	3.773168	4	
amor	426.763964	5.630188	4	
bota	6.698923	3.826005	4	
lana	24.411402	4.387593	4	
grúa	5.149027	3.711725	4	
surf	5.743478	3.759175	4	
nudo	5.613779	3.749255	4	
mozo	6.562739	3.817085	4	
noche	900.872171	5.954663	5	
gente	861.984265	5.935499	5	
mujer	588.294685	5.769595	5	
padre	819.270256	5.913427	5	
mundo	698.352430	5.844075	5	
amigo	649.758760	5.812752	5	
madre	613.283244	5.787661	5	
chica	391.163913	5.592359	5	
clase	244.289113	5.387904	5	
señor	1303.827830	6.115220	5	
chico	334.189564	5.523993	5	
miedo	299.369865	5.476208	5	
calle	163.035222	5.212281	5	
novia	123.263205	5.090833	5	
amiga	121.693854	5.085269	5	
coche	216.989759	5.336439	5	
juego	215.161012	5.332764	5	
sitio	159.970016	5.204039	5	
vista	115.046811	5.060875	5	
carta	109.359536	5.038857	5	
mitad	115.665040	5.063202	5	
poder	284.063291	5.453415	5	
libro	160.285616	5.204895	5	
perro	156.541655	5.194630	5	
señal	97.051157	4.987001	5	
línea	108.082006	5.033753	5	
broma	89.893966	4.953731	5	
punto	231.736468	5.364994	5	
viaje	148.046409	5.170398	5	
fuego	180.946572	5.257550	5	
tarde	454.037378	5.657092	5	
prisa	98.639962	4.994053	5	
llave	81.997495	4.913801	5	
cielo	158.878388	5.201065	5	
sueño	135.281924	5.131240	5	
error	128.070693	5.107450	5	
lista	199.188653	5.299265	5	
bomba	70.367871	4.847374	5	
pista	65.854367	4.818585	5	
campo	125.303793	5.097964	5	
dolor	122.528247	5.088236	5	
grupo	125.416199	5.098354	5	
bolsa	65.949479	4.819211	5	
banda	58.444264	4.766742	5	
pared	54.179348	4.733834	5	
barco	115.699626	5.063332	5	
avión	113.267781	5.054106	5	
hotel	117.351119	5.069487	5	
nariz	53.124468	4.725295	5	
silla	52.562441	4.720676	5	
leche	53.223903	4.726107	5	
honor	99.342495	4.997135	5	
novio	93.296388	4.969865	5	
papel	93.283418	4.969804	5	
reina	80.464892	4.905606	5	
época	47.841419	4.679804	5	
playa	49.235677	4.692280	5	
suelo	94.753333	4.976594	5	
banco	83.767878	4.923078	5	
baile	76.364261	4.882890	5	
salud	81.454923	4.910917	5	
cinta	46.278554	4.665380	5	
magia	42.307621	4.626419	5	
fondo	71.524349	4.854454	5	
hueso	21.357004	4.329540	5	
éxito	69.129251	4.839662	5	
tarea	34.564626	4.538632	5	
nieve	35.381726	4.548779	5	
costa	44.616252	4.649493	5	
huevo	21.274862	4.327867	5	
brazo	67.157836	4.827097	5	
valor	68.690438	4.836896	5	
plata	33.578918	4.526067	5	
arena	32.787757	4.515712	5	
pieza	30.146233	4.479233	5	
color	66.537445	4.823066	5	
vuelo	72.233367	4.858738	5	
nivel	67.298342	4.828004	5	
celda	28.276415	4.451424	5	
regla	33.077417	4.519532	5	
bruja	30.697451	4.487102	5	
calor	63.787839	4.804738	5	
golpe	63.288500	4.801325	5	
héroe	60.318406	4.780450	5	
torre	34.849962	4.542202	5	
deuda	23.879639	4.378028	5	
ducha	24.625404	4.391383	5	
norte	84.639019	4.927571	5	
reloj	58.329697	4.765890	5	
ruido	55.839488	4.746941	5	
pasta	23.321935	4.367765	5	
pizza	25.751619	4.410805	5	
salsa	22.442148	4.351064	5	
hielo	57.158088	4.757078	5	
turno	49.903624	4.698132	5	
humor	45.333917	4.656423	5	
frase	19.936807	4.299656	5	
letra	21.244599	4.327249	5	
crema	20.535581	4.312507	5	
cerdo	48.677974	4.687332	5	
dueño	43.005830	4.633527	5	
viejo	295.491882	5.470546	5	
aldea	19.701188	4.294492	5	
caída	19.188879	4.283050	5	
tribu	17.221787	4.236078	5	
techo	40.941464	4.612163	5	
pecho	40.989020	4.612668	5	
polvo	42.372470	4.627084	5	
prima	20.362650	4.308834	5	
barra	17.379587	4.240039	5	
cueva	16.635982	4.221048	5	
video	39.017604	4.591261	5	
carro	37.290454	4.571598	5	
pollo	40.684229	4.609426	5	
rueda	18.708995	4.272050	5	
jaula	15.955066	4.202899	5	
barba	16.538709	4.218502	5	
truco	36.959723	4.567729	5	
primo	41.127365	4.614131	5	
queso	36.613861	4.563646	5	
viuda	15.831852	4.199532	5	
oreja	15.667568	4.195002	5	
tarta	14.854791	4.171867	5	
motor	33.246025	4.521740	5	
disco	33.246025	4.521740	5	
ritmo	29.925746	4.476045	5	
plaza	21.620725	4.334870	5	
presa	14.800750	4.170284	5	
selva	14.167389	4.151290	5	
salón	33.096872	4.519787	5	
actor	29.674996	4.472391	5	
bolso	28.576883	4.456015	5	
pluma	13.765324	4.138786	5	
fruta	14.007428	4.146358	5	
mafia	15.237401	4.182911	5	
reino	35.169885	4.546171	5	
plato	26.936198	4.430336	5	
grado	27.106967	4.433081	5	
tabla	12.881214	4.109957	5	
cabra	13.021720	4.114668	5	
aguja	12.340803	4.091343	5	
piano	24.878316	4.395821	5	
patio	23.609433	4.373086	5	
cable	25.301998	4.403155	5	
grasa	12.366743	4.092255	5	
feria	11.930092	4.076644	5	
manta	9.924090	3.996691	5	
botón	22.805303	4.358036	5	
rumbo	23.665636	4.374118	5	
túnel	22.057376	4.343554	5	
verdad	1351.617370	6.130854	6	
cabeza	383.295543	5.583534	6	
maldad	11.880374	4.074830	6	
tiempo	1287.689025	6.109811	6	
hombre	1138.548826	6.056352	6	
dinero	727.422167	5.861787	6	
suerte	324.401658	5.511083	6	
semana	299.562251	5.476487	6	
esposa	294.419709	5.468967	6	
nombre	537.692851	5.730534	6	
camino	324.416789	5.511103	6	
equipo	229.388927	5.360572	6	
ciudad	305.461367	5.484956	6	
señora	312.469404	5.494807	6	
manera	282.102683	5.450407	6	
cuerpo	218.598020	5.339646	6	
número	222.102038	5.346553	6	
pueblo	179.545829	5.254175	6	
sangre	250.728639	5.399204	6	
fiesta	207.452603	5.316919	6	
comida	200.273796	5.301624	6	
minuto	163.359468	5.213144	6	
marido	153.625602	5.186464	6	
cuarto	175.116629	5.243327	6	
tierra	256.459147	5.409018	6	
música	137.958035	5.139747	6	
tienda	100.918331	5.003970	6	
asunto	139.890541	5.145788	6	
futuro	133.144062	5.124322	6	
estado	624.752907	5.795708	6	
cárcel	92.403631	4.965689	6	
basura	93.263963	4.969714	6	
locura	86.065702	4.934830	6	
ataque	100.127171	5.000552	6	
montón	81.489510	4.911102	6	
crimen	82.661119	4.917301	6	
escena	82.667603	4.917335	6	
abuela	86.735810	4.938198	6	
salida	73.599523	4.866875	6	
pasado	386.831986	5.587522	6	
precio	69.630752	4.842801	6	
abuelo	80.296284	4.904695	6	
trampa	57.841167	4.762237	6	
pareja	57.367767	4.758668	6	
pierna	54.414967	4.735718	6	
juicio	70.504054	4.848214	6	
cuello	63.649494	4.803795	6	
anillo	69.062240	4.839241	6	
prensa	53.018547	4.724428	6	
imagen	51.689139	4.713399	6	
espada	54.702465	4.738007	6	
estilo	62.108244	4.793149	6	
verano	59.693692	4.775928	6	
camión	57.929794	4.762902	6	
mirada	43.234964	4.635835	6	
piedra	48.105139	4.682191	6	
lengua	43.952629	4.642985	6	
motivo	54.903498	4.739600	6	
bosque	57.702822	4.761197	6	
puente	60.093596	4.778828	6	
oferta	43.922366	4.642686	6	
fuente	43.163630	4.635118	6	
unidad	52.160376	4.717341	6	
viento	55.069944	4.740915	6	
código	59.546701	4.774858	6	
riesgo	49.108140	4.691153	6	
teoría	40.932817	4.612072	6	
gracia	42.960436	4.633069	6	
camisa	39.136495	4.592582	6	
seguro	680.283280	5.832690	6	
sonido	47.432869	4.676079	6	
delito	19.281830	4.285148	6	
lluvia	39.454256	4.596094	6	
herida	42.785343	4.631295	6	
cadena	33.524877	4.525367	6	
efecto	42.863162	4.632084	6	
