TrialID,StimulusType,Condition,PrimeDuration,Prime,Flanker,corrAns,Transparency
1.0,FEM,AGR,150.0,casa,la,a,Transparent
2.0,FEM,CON,150.0,vida,,a,Transparent
3.0,FEM,DIS,150.0,cosa,el,a,Transparent
4.0,MAS,AGR,150.0,hijo,el,l,Transparent
5.0,MAS,CON,150.0,tipo,,l,Transparent
6.0,MAS,DIS,150.0,lado,la,l,Transparent
7.0,FEM,AGR,150.0,hora,la,a,Transparent
8.0,FEM,CON,150.0,idea,,a,Transparent
9.0,FEM,DIS,150.0,mamá,el,a,Transparent
10.0,MAS,AGR,150.0,niño,el,l,Transparent
11.0,MAS,CON,150.0,país,,l,Opaque
12.0,MAS,DIS,150.0,plan,la,l,Opaque
13.0,FEM,AGR,150.0,hija,la,a,Transparent
14.0,FEM,CON,150.0,cara,,a,Transparent
15.0,FEM,DIS,150.0,cama,el,a,Transparent
16.0,MAS,AGR,150.0,baño,el,l,Transparent
17.0,MAS,CON,150.0,modo,,l,Transparent
18.0,MAS,DIS,150.0,tren,la,l,Opaque
19.0,FEM,AGR,150.0,niña,la,a,Transparent
20.0,FEM,CON,150.0,ropa,,a,Transparent
21.0,FEM,DIS,150.0,boca,el,a,Transparent
22.0,MAS,AGR,150.0,pelo,el,l,Transparent
23.0,MAS,CON,150.0,rato,,l,Transparent
24.0,MAS,DIS,150.0,voto,la,l,Transparent
25.0,FEM,AGR,150.0,nave,la,a,Opaque
26.0,FEM,CON,150.0,pena,,a,Transparent
27.0,FEM,DIS,150.0,mesa,el,a,Transparent
28.0,MAS,AGR,150.0,club,el,l,Opaque
29.0,MAS,CON,150.0,frío,,l,Transparent
30.0,MAS,DIS,150.0,cine,la,l,Opaque
31.0,FEM,AGR,150.0,edad,la,a,Opaque
32.0,FEM,CON,150.0,caja,,a,Transparent
33.0,FEM,DIS,150.0,boda,el,a,Transparent
34.0,MAS,AGR,150.0,gato,el,l,Transparent
35.0,MAS,CON,150.0,taxi,,l,Opaque
36.0,MAS,DIS,150.0,dedo,la,l,Transparent
