word	frq	zipf	num_letters	Lev_N	
casa	1349.157424	6.130063	4	1.000000	
vida	1101.318898	6.041913	4	1.000000	
cosa	627.889447	5.797883	4	1.000000	
hijo	674.092343	5.828719	4	1.300000	
tipo	622.364295	5.794045	4	1.150000	
lado	360.215711	5.556563	4	1.000000	
hora	469.352598	5.671499	4	1.000000	
idea	441.891122	5.645315	4	1.450000	
mamá	550.429234	5.740701	4	1.550000	
niño	272.401243	5.435209	4	1.150000	
plan	161.277808	5.207575	4	1.000000	
hija	272.167785	5.434837	4	1.350000	
cama	177.773284	5.249866	4	1.000000	
baño	123.695533	5.092354	4	1.000000	
modo	140.495800	5.147663	4	1.000000	
ropa	143.630178	5.157246	4	1.000000	
boca	135.271116	5.131205	4	1.000000	
pelo	112.915434	5.052753	4	1.000000	
rato	85.335067	4.931128	4	1.000000	
voto	21.348358	4.329364	4	1.000000	
nave	130.882987	5.116883	4	1.300000	
pena	129.196907	5.111252	4	1.000000	
mesa	110.583024	5.043688	4	1.000000	
club	85.724163	4.933103	4	1.900000	
edad	111.700592	5.048055	4	1.650000	
caja	106.504009	5.027366	4	1.000000	
boda	90.397629	4.956157	4	1.000000	
gato	54.970508	4.740130	4	1.000000	
dedo	43.859678	4.642065	4	1.050000	
sala	92.498743	4.966136	4	1.000000	
obra	69.840431	4.844107	4	1.200000	
luna	84.485543	4.926782	4	1.000000	
dios	1198.004738	6.078459	4	1.100000	
nena	82.023435	4.913938	4	1.000000	
zona	78.534548	4.895061	4	1.100000	
isla	72.408459	4.859789	4	1.600000	
odio	141.235081	5.149943	4	1.050000	
olor	37.720620	4.576579	4	1.750000	
loco	267.178720	5.426802	4	1.000000	
piel	62.743766	4.797571	4	1.500000	
dama	53.314692	4.726847	4	1.000000	
bala	49.233516	4.692261	4	1.000000	
lago	37.517426	4.574233	4	1.000000	
vaso	31.596694	4.499642	4	1.000000	
humo	28.974624	4.462018	4	1.100000	
taza	30.937394	4.490484	4	1.000000	
bola	32.839637	4.516398	4	1.000000	
moda	27.822470	4.444396	4	1.000000	
mono	34.988307	4.543923	4	1.000000	
lobo	28.492579	4.454732	4	1.000000	
tono	21.261892	4.327602	4	1.000000	
ruta	28.922745	4.461240	4	1.000000	
sopa	30.258639	4.480849	4	1.000000	
saco	30.431570	4.483324	4	1.000000	
rayo	22.701545	4.356055	4	1.000000	
muro	20.823079	4.318545	4	1.000000	
miel	27.534972	4.439885	4	1.300000	
pata	24.845892	4.395255	4	1.000000	
palo	19.928160	4.299467	4	1.000000	
pozo	18.421497	4.265325	4	1.100000	
hoyo	16.945097	4.229044	4	1.200000	
flor	25.289028	4.402932	4	1.550000	
lujo	16.558163	4.219012	4	1.250000	
pico	18.533902	4.267967	4	1.000000	
oído	168.504171	5.226611	4	1.600000	
mina	24.398432	4.387362	4	1.000000	
vaca	20.663118	4.315196	4	1.000000	
tubo	16.188523	4.209207	4	1.150000	
nene	17.587104	4.245194	4	1.250000	
mago	20.127031	4.303780	4	1.000000	
cruz	26.964299	4.430789	4	1.750000	
pavo	14.461372	4.160209	4	1.000000	
león	20.023273	4.301535	4	1.550000	
hoja	16.635982	4.221048	4	1.250000	
cabo	50.597511	4.704129	4	1.000000	
tomo	37.900036	4.578640	4	1.000000	
pato	13.856113	4.141641	4	1.000000	
fuga	14.776972	4.169585	4	1.150000	
nido	11.981971	4.078528	4	1.050000	
giro	12.889860	4.110248	4	1.100000	
coro	11.437238	4.058321	4	1.000000	
fama	15.077440	4.178328	4	1.000000	
vela	14.772649	4.169458	4	1.000000	
jefa	19.692542	4.294302	4	1.450000	
cubo	11.337802	4.054529	4	1.100000	
hilo	10.375873	4.016025	4	1.000000	
rosa	36.942430	4.567525	4	1.000000	
goma	11.041658	4.043034	4	1.000000	
reto	11.776615	4.071020	4	1.000000	
toro	12.844466	4.108716	4	1.000000	
seda	11.404813	4.057088	4	1.000000	
raya	11.158386	4.047601	4	1.000000	
baúl	8.298536	3.919001	4	1.750000	
mito	8.901634	3.949470	4	1.000000	
puño	9.908958	3.996028	4	1.300000	
pila	10.118637	4.005122	4	1.000000	
loca	111.023999	5.045417	4	1.000000	
tela	8.944867	3.951574	4	1.000000	
bate	8.644399	3.936735	4	1.000000	
lazo	7.459820	3.872728	4	1.000000	
cuna	8.255304	3.916733	4	1.000000	
leña	6.975613	3.843582	4	1.050000	
rana	8.309345	3.919567	4	1.000000	
kilo	7.044785	3.847868	4	1.300000	
velo	6.742156	3.828799	4	1.000000	
joya	7.280404	3.862155	4	1.050000	
rama	8.289890	3.918549	4	1.000000	
raíz	7.291212	3.862800	4	1.750000	
luto	5.596486	3.747915	4	1.200000	
pipa	8.136413	3.910433	4	1.000000	
mula	5.983420	3.776949	4	1.000000	
cera	6.139058	3.788102	4	1.000000	
lodo	5.564062	3.745392	4	1.000000	
faro	5.931541	3.773168	4	1.000000	
amor	426.763964	5.630188	4	1.550000	
bota	6.698923	3.826005	4	1.000000	
lana	24.411402	4.387593	4	1.000000	
grúa	5.149027	3.711725	4	1.900000	
nudo	5.613779	3.749255	4	1.200000	
mozo	6.562739	3.817085	4	1.000000	
mundo	698.352430	5.844075	5	1.550000	
amigo	649.758760	5.812752	5	1.600000	
