TrialID,Gender,StimulusType,Condition,PrimeDuration,Prime,Flanker,PairedWith,Transparency
1,FEM,WORD,AGR,150,casa,la,mada,Transparent
2,FEM,NOWORD,DIS,150,mada,el,casa,Transparent
3,FEM,WORD,DIS,150,vida,el,dica,Transparent
4,FEM,NOWORD,AGR,150,dica,la,vida,Transparent
5,FEM,WORD,AGR,150,cosa,la,poga,Transparent
6,FEM,NOWORD,DIS,150,poga,el,cosa,Transparent
7,MAS,WORD,AGR,150,hijo,el,nivo,Transparent
8,MAS,NOWORD,AGR,150,nivo,el,hijo,Transparent
9,MAS,WORD,DIS,150,tipo,la,sibo,Transparent
10,MAS,NOWORD,DIS,150,sibo,la,tipo,Transparent
11,MAS,WORD,AGR,150,lado,el,bapo,Transparent
12,MAS,NOWORD,AGR,150,bapo,el,lado,Transparent
13,FEM,WORD,DIS,150,hora,el,nola,Transparent
14,FEM,NOWORD,DIS,150,nola,el,hora,Transparent
15,FEM,WORD,AGR,150,idea,la,odea,Transparent
16,FEM,NOWORD,AGR,150,odea,la,idea,Transparent
17,FEM,WORD,DIS,150,mamá,el,paba,Transparent
18,FEM,NOWORD,DIS,150,paba,el,mamá,Transparent
19,MAS,WORD,DIS,150,niño,la,himo,Transparent
20,MAS,NOWORD,AGR,150,himo,el,niño,Transparent
21,MAS,WORD,AGR,150,plan,el,blan,Opaque
22,MAS,NOWORD,DIS,150,blan,la,plan,Opaque
23,FEM,WORD,AGR,150,hija,la,giva,Transparent
24,FEM,NOWORD,AGR,150,giva,la,hija,Transparent
25,FEM,WORD,DIS,150,cama,el,paza,Transparent
26,FEM,NOWORD,DIS,150,paza,el,cama,Transparent
27,MAS,WORD,DIS,150,baño,la,ravo,Transparent
28,MAS,NOWORD,AGR,150,ravo,el,baño,Transparent
29,MAS,WORD,AGR,150,modo,el,pono,Transparent
30,MAS,NOWORD,DIS,150,pono,la,modo,Transparent
31,FEM,WORD,AGR,150,ropa,la,bova,Transparent
32,FEM,NOWORD,AGR,150,bova,la,ropa,Transparent
33,FEM,WORD,DIS,150,boca,el,loda,Transparent
34,FEM,NOWORD,DIS,150,loda,el,boca,Transparent
35,MAS,WORD,DIS,150,pelo,la,meno,Transparent
36,MAS,NOWORD,AGR,150,meno,el,pelo,Transparent
37,MAS,WORD,AGR,150,rato,el,gaco,Transparent
38,MAS,NOWORD,DIS,150,gaco,la,rato,Transparent
39,MAS,WORD,DIS,150,voto,la,redo,Transparent
40,MAS,NOWORD,AGR,150,redo,el,voto,Transparent
41,FEM,WORD,AGR,150,nave,la,haje,Opaque
42,FEM,NOWORD,DIS,150,haje,el,nave,Opaque
43,FEM,WORD,DIS,150,pena,el,meda,Transparent
44,FEM,NOWORD,AGR,150,meda,la,pena,Transparent
45,FEM,WORD,AGR,150,mesa,la,pema,Transparent
46,FEM,NOWORD,DIS,150,pema,el,mesa,Transparent
47,MAS,WORD,AGR,150,club,el,chub,Opaque
48,MAS,NOWORD,AGR,150,chub,el,club,Opaque
49,FEM,WORD,DIS,150,edad,el,ecat,Opaque
50,FEM,NOWORD,DIS,150,ecat,el,edad,Opaque
51,FEM,WORD,AGR,150,caja,la,mava,Transparent
52,FEM,NOWORD,AGR,150,mava,la,caja,Transparent
53,FEM,WORD,DIS,150,boda,el,rora,Transparent
54,FEM,NOWORD,DIS,150,rora,el,boda,Transparent
55,MAS,WORD,DIS,150,gato,la,jado,Transparent
56,MAS,NOWORD,AGR,150,jado,el,gato,Transparent
57,MAS,WORD,AGR,150,dedo,el,heco,Transparent
58,MAS,NOWORD,DIS,150,heco,la,dedo,Transparent
59,FEM,WORD,AGR,150,sala,la,tafa,Transparent
60,FEM,NOWORD,AGR,150,tafa,la,sala,Transparent
61,FEM,WORD,DIS,150,obra,el,efla,Transparent
62,FEM,NOWORD,DIS,150,efla,el,obra,Transparent
63,FEM,WORD,AGR,150,luna,la,funa,Transparent
64,FEM,NOWORD,AGR,150,funa,la,luna,Transparent
65,MAS,WORD,DIS,150,dios,la,nios,Opaque
66,MAS,NOWORD,DIS,150,nios,la,dios,Opaque
67,FEM,WORD,DIS,150,nena,el,gesa,Transparent
68,FEM,NOWORD,AGR,150,gesa,la,nena,Transparent
69,FEM,WORD,AGR,150,zona,la,ñola,Transparent
70,FEM,NOWORD,DIS,150,ñola,el,zona,Transparent
