word	frq	zipf	num_letters	Lev_N	
casa	1349.157424	6.130063	4	1.000000	
vida	1101.318898	6.041913	4	1.000000	
cosa	627.889447	5.797883	4	1.000000	
hora	469.352598	5.671499	4	1.000000	
idea	441.891122	5.645315	4	1.450000	
mamá	550.429234	5.740701	4	1.550000	
hija	272.167785	5.434837	4	1.350000	
cara	269.742425	5.430949	4	1.000000	
cama	177.773284	5.249866	4	1.000000	
niña	157.951044	5.198523	4	1.200000	
ropa	143.630178	5.157246	4	1.000000	
boca	135.271116	5.131205	4	1.000000	
nave	130.882987	5.116883	4	1.300000	
pena	129.196907	5.111252	4	1.000000	
mesa	110.583024	5.043688	4	1.000000	
edad	111.700592	5.048055	4	1.650000	
caja	106.504009	5.027366	4	1.000000	
boda	90.397629	4.956157	4	1.000000	
sala	92.498743	4.966136	4	1.000000	
obra	69.840431	4.844107	4	1.200000	
luna	84.485543	4.926782	4	1.000000	
nena	82.023435	4.913938	4	1.000000	
zona	78.534548	4.895061	4	1.100000	
isla	72.408459	4.859789	4	1.600000	
piel	62.743766	4.797571	4	1.500000	
dama	53.314692	4.726847	4	1.000000	
bala	49.233516	4.692261	4	1.000000	
taza	30.937394	4.490484	4	1.000000	
bola	32.839637	4.516398	4	1.000000	
moda	27.822470	4.444396	4	1.000000	
ruta	28.922745	4.461240	4	1.000000	
sopa	30.258639	4.480849	4	1.000000	
fila	27.072381	4.432526	4	1.000000	
miel	27.534972	4.439885	4	1.300000	
roca	24.744295	4.393475	4	1.000000	
flor	25.289028	4.402932	4	1.550000	
caza	26.646538	4.425641	4	1.000000	
mina	24.398432	4.387362	4	1.000000	
cima	18.015109	4.255637	4	1.050000	
gira	30.697451	4.487102	4	1.000000	
cruz	26.964299	4.430789	4	1.750000	
risa	17.932967	4.253652	4	1.000000	
hoja	16.635982	4.221048	4	1.250000	
masa	16.363616	4.213879	4	1.000000	
lata	15.851307	4.200065	4	1.000000	
capa	16.363616	4.213879	4	1.000000	
fuga	14.776972	4.169585	4	1.150000	
fase	16.097734	4.206765	4	1.000000	
fama	15.077440	4.178328	4	1.000000	
vela	14.772649	4.169458	4	1.000000	
jefa	19.692542	4.294302	4	1.450000	
gota	13.562130	4.132328	4	1.000000	
rosa	36.942430	4.567525	4	1.000000	
goma	11.041658	4.043034	4	1.000000	
seda	11.404813	4.057088	4	1.000000	
nube	11.830656	4.073009	4	1.750000	
pila	10.118637	4.005122	4	1.000000	
loca	111.023999	5.045417	4	1.000000	
tela	8.944867	3.951574	4	1.000000	
cuna	8.255304	3.916733	4	1.000000	
leña	6.975613	3.843582	4	1.050000	
joya	7.280404	3.862155	4	1.050000	
rama	8.289890	3.918549	4	1.000000	
raíz	7.291212	3.862800	4	1.750000	
pipa	8.136413	3.910433	4	1.000000	
cera	6.139058	3.788102	4	1.000000	
bota	6.698923	3.826005	4	1.000000	
lana	24.411402	4.387593	4	1.000000	
grúa	5.149027	3.711725	4	1.900000	
noche	900.872171	5.954663	5	1.600000	
gente	861.984265	5.935499	5	1.200000	
mujer	588.294685	5.769595	5	1.900000	
madre	613.283244	5.787661	5	1.300000	
chica	391.163913	5.592359	5	1.300000	
clase	244.289113	5.387904	5	1.500000	
calle	163.035222	5.212281	5	1.000000	
novia	123.263205	5.090833	5	1.700000	
amiga	121.693854	5.085269	5	1.350000	
vista	115.046811	5.060875	5	1.200000	
carta	109.359536	5.038857	5	1.000000	
mitad	115.665040	5.063202	5	1.600000	
señal	97.051157	4.987001	5	1.550000	
línea	108.082006	5.033753	5	1.850000	
broma	89.893966	4.953731	5	1.200000	
tarde	454.037378	5.657092	5	1.250000	
prisa	98.639962	4.994053	5	1.300000	
llave	81.997495	4.913801	5	1.700000	
lista	199.188653	5.299265	5	1.050000	
pista	65.854367	4.818585	5	1.300000	
bolsa	65.949479	4.819211	5	1.650000	
banda	58.444264	4.766742	5	1.150000	
pared	54.179348	4.733834	5	1.550000	
nariz	53.124468	4.725295	5	1.900000	
silla	52.562441	4.720676	5	1.100000	
leche	53.223903	4.726107	5	1.450000	
reina	80.464892	4.905606	5	1.000000	
época	47.841419	4.679804	5	1.800000	
playa	49.235677	4.692280	5	1.400000	
salud	81.454923	4.910917	5	1.550000	
cinta	46.278554	4.665380	5	1.400000	
magia	42.307621	4.626419	5	1.250000	
tarea	34.564626	4.538632	5	1.200000	
nieve	35.381726	4.548779	5	1.600000	
costa	44.616252	4.649493	5	1.000000	
plata	33.578918	4.526067	5	1.250000	
arena	32.787757	4.515712	5	1.000000	
pieza	30.146233	4.479233	5	1.800000	
celda	28.276415	4.451424	5	1.400000	
regla	33.077417	4.519532	5	1.400000	
bruja	30.697451	4.487102	5	1.500000	
torre	34.849962	4.542202	5	1.400000	
deuda	23.879639	4.378028	5	1.700000	
ducha	24.625404	4.391383	5	1.250000	
salsa	22.442148	4.351064	5	1.150000	
frase	19.936807	4.299656	5	1.350000	
letra	21.244599	4.327249	5	1.600000	
crema	20.535581	4.312507	5	1.450000	
aldea	19.701188	4.294492	5	1.550000	
caída	19.188879	4.283050	5	1.400000	
tribu	17.221787	4.236078	5	1.900000	
prima	20.362650	4.308834	5	1.250000	
barra	17.379587	4.240039	5	1.000000	
