TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,Transparency
1,FEM,AGR,150,0,casa,la,4,Transparent
2,FEM,DIS,150,0,vida,el,4,Transparent
3,FEM,AGR,150,0,cosa,la,4,Transparent
4,FEM,DIS,150,0,hora,el,4,Transparent
5,FEM,AGR,150,0,idea,la,4,Transparent
6,FEM,DIS,150,0,mamá,el,4,Transparent
7,FEM,AGR,150,0,hija,la,4,Transparent
8,FEM,DIS,150,0,cara,el,4,Transparent
9,FEM,AGR,150,0,cama,la,4,Transparent
10,FEM,DIS,150,0,niña,el,4,Transparent
11,FEM,AGR,150,0,ropa,la,4,Transparent
12,FEM,DIS,150,0,boca,el,4,Transparent
13,FEM,AGR,150,0,nave,la,4,Opaque
14,FEM,DIS,150,0,pena,el,4,Transparent
15,FEM,AGR,150,0,mesa,la,4,Transparent
16,FEM,DIS,150,0,edad,el,4,Opaque
17,FEM,AGR,150,0,caja,la,4,Transparent
18,FEM,DIS,150,0,boda,el,4,Transparent
19,FEM,AGR,150,0,sala,la,4,Transparent
20,FEM,DIS,150,0,obra,el,4,Transparent
21,FEM,AGR,150,0,luna,la,4,Transparent
22,FEM,DIS,150,0,nena,el,4,Transparent
23,FEM,AGR,150,0,zona,la,4,Transparent
24,FEM,DIS,150,0,isla,el,4,Transparent
25,FEM,AGR,150,0,piel,la,4,Opaque
26,FEM,DIS,150,0,dama,el,4,Transparent
27,FEM,AGR,150,0,bala,la,4,Transparent
28,FEM,DIS,150,0,taza,el,4,Transparent
29,FEM,AGR,150,0,bola,la,4,Transparent
30,FEM,DIS,150,0,moda,el,4,Transparent
31,FEM,AGR,150,0,ruta,la,4,Transparent
32,FEM,DIS,150,0,sopa,el,4,Transparent
33,FEM,AGR,150,0,fila,la,4,Transparent
34,FEM,DIS,150,0,miel,el,4,Opaque
35,FEM,AGR,150,0,roca,la,4,Transparent
36,FEM,DIS,150,0,flor,el,4,Opaque
37,FEM,AGR,150,0,caza,la,4,Transparent
38,FEM,DIS,150,0,mina,el,4,Transparent
39,FEM,AGR,150,0,cima,la,4,Transparent
40,FEM,DIS,150,0,gira,el,4,Transparent
41,FEM,AGR,150,0,cruz,la,4,Opaque
42,FEM,DIS,150,0,risa,el,4,Transparent
43,FEM,AGR,150,0,hoja,la,4,Transparent
44,FEM,DIS,150,0,masa,el,4,Transparent
45,FEM,AGR,150,0,lata,la,4,Transparent
46,FEM,DIS,150,0,capa,el,4,Transparent
47,FEM,AGR,150,0,fuga,la,4,Transparent
48,FEM,DIS,150,0,fase,el,4,Opaque
49,FEM,AGR,150,0,fama,la,4,Transparent
50,FEM,DIS,150,0,vela,el,4,Transparent
51,FEM,AGR,150,0,jefa,la,4,Transparent
52,FEM,DIS,150,0,gota,el,4,Transparent
53,FEM,AGR,150,0,rosa,la,4,Transparent
54,FEM,DIS,150,0,goma,el,4,Transparent
55,FEM,AGR,150,0,seda,la,4,Transparent
56,FEM,DIS,150,0,nube,el,4,Opaque
57,FEM,AGR,150,0,pila,la,4,Transparent
58,FEM,DIS,150,0,loca,el,4,Transparent
59,FEM,AGR,150,0,tela,la,4,Transparent
60,FEM,DIS,150,0,cuna,el,4,Transparent
61,FEM,AGR,150,0,leña,la,4,Transparent
62,FEM,DIS,150,0,joya,el,4,Transparent
63,FEM,AGR,150,0,rama,la,4,Transparent
64,FEM,DIS,150,0,raíz,el,4,Opaque
65,FEM,AGR,150,0,pipa,la,4,Transparent
66,FEM,DIS,150,0,cera,el,4,Transparent
